"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number"
"Q9DAV8_MOUSE","Prl8a1","Growth hormone d16 OS=Mus musculus OX=10090 GN=Prl8a1 PE=2 SV=1",5,4,4,4,4,"Q9DAV8_MOUSE","Q9DAV8_MOUSE"
"ROAA_MOUSE","Hnrnpab","Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus OX=10090 GN=Hnrnpab PE=1 SV=1",10,9,8,8,11,"ROAA_MOUSE","ROAA_MOUSE"
"SND1_MOUSE","Snd1","Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus OX=10090 GN=Snd1 PE=1 SV=1",14,9,3,10,11,"SND1_MOUSE","SND1_MOUSE"
"HSPB1_MOUSE","Hspb1","Isoform B of Heat shock protein beta-1 OS=Mus musculus OX=10090 GN=Hspb1",9,7,8,9,10,"sp|P14602-2|HSPB1_MOUSE (+1)","HSPB1_MOUSE"
"CH60_MOUSE","Hspd1","60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1",14,12,9,12,13,"sp|P63038|CH60_MOUSE","CH60_MOUSE"
"ECM1_MOUSE","Ecm1","Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2",13,6,7,11,12,"sp|Q61508|ECM1_MOUSE","ECM1_MOUSE"
"ATX10_MOUSE","Atxn10","Ataxin-10 OS=Mus musculus OX=10090 GN=Atxn10 PE=1 SV=2",11,8,3,9,9,"ATX10_MOUSE","ATX10_MOUSE"
"HNRPD_MOUSE","Hnrnpd","Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0 OS=Mus musculus OX=10090 GN=Hnrnpd",6,5,5,8,7,"sp|Q60668-3|HNRPD_MOUSE (+1)","HNRPD_MOUSE"
"DHE3_MOUSE","Glud1","Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1",5,5,7,3,2,"DHE3_MOUSE","DHE3_MOUSE"
"CYTB_MOUSE","Cstb","Cystatin-B OS=Mus musculus OX=10090 GN=Cstb PE=1 SV=1",5,4,4,4,5,"CYTB_MOUSE","CYTB_MOUSE"
"HTRA1_MOUSE","Htra1","Serine protease HTRA1 OS=Mus musculus OX=10090 GN=Htra1 PE=1 SV=2",10,7,5,12,9,"HTRA1_MOUSE","HTRA1_MOUSE"
"TCPE_MOUSE","Cct5","T-complex protein 1 subunit epsilon OS=Mus musculus OX=10090 GN=Cct5 PE=1 SV=1",12,7,5,11,9,"TCPE_MOUSE","TCPE_MOUSE"
"LIS1_MOUSE","Pafah1b1","Platelet-activating factor acetylhydrolase IB subunit alpha OS=Mus musculus OX=10090 GN=Pafah1b1 PE=1 SV=2",9,9,5,5,9,"sp|P63005|LIS1_MOUSE","LIS1_MOUSE"
"AMPL_MOUSE","Lap3","Isoform 2 of Cytosol aminopeptidase OS=Mus musculus OX=10090 GN=Lap3",11,10,8,12,7,"sp|Q9CPY7-2|AMPL_MOUSE (+1)","AMPL_MOUSE"
"NID2_MOUSE","Nid2","Nidogen-2 OS=Mus musculus OX=10090 GN=Nid2 PE=1 SV=2",13,3,9,9,10,"NID2_MOUSE","NID2_MOUSE"
"A0A0R4J093_MOUSE","Cmpk1","UMP-CMP kinase OS=Mus musculus OX=10090 GN=Cmpk1 PE=1 SV=1",9,6,7,7,7,"A0A0R4J093_MOUSE (+1)","A0A0R4J093_MOUSE"
"O08806_MOUSE","Serpinb9e","MCG118183 OS=Mus musculus OX=10090 GN=Serpinb9e PE=1 SV=2",8,9,8,7,8,"O08806_MOUSE","O08806_MOUSE"
"A0A0J9YTY0_MOUSE","Sept11","Septin-11 OS=Mus musculus OX=10090 GN=Sept11 PE=1 SV=1",9,9,5,10,9,"A0A0J9YTY0_MOUSE (+4)","A0A0J9YTY0_MOUSE"
"FA49B_MOUSE","Fam49b","Protein FAM49B OS=Mus musculus OX=10090 GN=Fam49b PE=1 SV=1",12,10,9,10,9,"FA49B_MOUSE","FA49B_MOUSE"
"GSTM2_MOUSE","Gstm2","Glutathione S-transferase Mu 2 OS=Mus musculus OX=10090 GN=Gstm2 PE=1 SV=2",9,7,7,9,9,"GSTM2_MOUSE","GSTM2_MOUSE"
"Q6PI17_MOUSE","Timp2","Metalloproteinase inhibitor 2 OS=Mus musculus OX=10090 GN=Timp2 PE=1 SV=1",9,7,6,9,9,"Q6PI17_MOUSE (+1)","Q6PI17_MOUSE"
"Q9DAT7_MOUSE","Ceacam13","Carcinoembryonic antigen-related cell adhesion molecule 13 OS=Mus musculus OX=10090 GN=Ceacam13 PE=1 SV=1",9,7,3,8,7,"Q9DAT7_MOUSE (+1)","Q9DAT7_MOUSE"
"CRYAB_MOUSE","Cryab","Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2",8,8,9,8,9,"CRYAB_MOUSE","CRYAB_MOUSE"
"A0A0R4J107_MOUSE","Apeh","Acylamino-acid-releasing enzyme (Fragment) OS=Mus musculus OX=10090 GN=Apeh PE=1 SV=1",12,11,8,11,8,"A0A0R4J107_MOUSE (+2)","A0A0R4J107_MOUSE"
"GSTP1_MOUSE","Gstp1","Glutathione S-transferase P 1 OS=Mus musculus OX=10090 GN=Gstp1 PE=1 SV=2",7,5,4,5,7,"GSTP1_MOUSE","GSTP1_MOUSE"
"PPID_MOUSE","Ppid","Peptidyl-prolyl cis-trans isomerase D OS=Mus musculus OX=10090 GN=Ppid PE=1 SV=3",10,5,4,6,8,"PPID_MOUSE","PPID_MOUSE"
"PSA5_MOUSE","Psma5","Proteasome subunit alpha type-5 OS=Mus musculus OX=10090 GN=Psma5 PE=1 SV=1",8,6,6,8,7,"PSA5_MOUSE","PSA5_MOUSE"
"HNRPF_MOUSE","Hnrnpf","Isoform 2 of Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus OX=10090 GN=Hnrnpf",5,5,4,5,4,"sp|Q9Z2X1-2|HNRPF_MOUSE (+1)","HNRPF_MOUSE"
"FAS_MOUSE","Fasn","Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=2",12,6,0,8,14,"FAS_MOUSE","FAS_MOUSE"
"FERM2_MOUSE","Fermt2","Fermitin family homolog 2 OS=Mus musculus OX=10090 GN=Fermt2 PE=1 SV=1",8,7,3,11,9,"FERM2_MOUSE","FERM2_MOUSE"
"GDIA_MOUSE","Gdi1","Rab GDP dissociation inhibitor alpha OS=Mus musculus OX=10090 GN=Gdi1 PE=1 SV=3",12,9,8,10,10,"GDIA_MOUSE","GDIA_MOUSE"
"HA1B_MOUSE","H2-K1","H-2 class I histocompatibility antigen, K-B alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=1",7,7,4,8,8,"HA1B_MOUSE (+1)","HA1B_MOUSE"
"PSB6_MOUSE","Psmb6","Proteasome subunit beta type-6 OS=Mus musculus OX=10090 GN=Psmb6 PE=1 SV=3",9,8,6,8,9,"PSB6_MOUSE","PSB6_MOUSE"
"PA2G4_MOUSE","Pa2g4","Proliferation-associated protein 2G4 OS=Mus musculus OX=10090 GN=Pa2g4 PE=1 SV=3",9,7,5,10,11,"sp|P50580|PA2G4_MOUSE","PA2G4_MOUSE"
"NUDC_MOUSE","Nudc","Nuclear migration protein nudC OS=Mus musculus OX=10090 GN=Nudc PE=1 SV=1",8,7,6,6,8,"NUDC_MOUSE","NUDC_MOUSE"
"SBP1_MOUSE","Selenbp1","Methanethiol oxidase OS=Mus musculus OX=10090 GN=Selenbp1 PE=1 SV=2",12,7,9,10,9,"SBP1_MOUSE","SBP1_MOUSE"
"TXNL1_MOUSE","Txnl1","Thioredoxin-like protein 1 OS=Mus musculus OX=10090 GN=Txnl1 PE=1 SV=3",7,6,8,7,9,"TXNL1_MOUSE","TXNL1_MOUSE"
"CTNA1_MOUSE","Ctnna1","Catenin alpha-1 OS=Mus musculus OX=10090 GN=Ctnna1 PE=1 SV=1",9,5,2,10,8,"CTNA1_MOUSE","CTNA1_MOUSE"
"A0A2I3BPT1_MOUSE","App","Amyloid-beta A4 protein OS=Mus musculus OX=10090 GN=App PE=1 SV=1",10,5,6,12,8,"A0A2I3BPT1_MOUSE (+3)","A0A2I3BPT1_MOUSE"
"PGM2_MOUSE","Pgm2","Phosphoglucomutase-2 OS=Mus musculus OX=10090 GN=Pgm2 PE=1 SV=1",13,9,5,9,10,"PGM2_MOUSE","PGM2_MOUSE"
"Q3UE92_MOUSE","Xpnpep1","X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b OS=Mus musculus OX=10090 GN=Xpnpep1 PE=1 SV=1",6,6,6,9,7,"Q3UE92_MOUSE (+1)","Q3UE92_MOUSE"
"SYEP_MOUSE","Eprs","Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus OX=10090 GN=Eprs PE=1 SV=4",11,11,3,9,7,"SYEP_MOUSE","SYEP_MOUSE"
"TAGL_MOUSE","Tagln","Transgelin OS=Mus musculus OX=10090 GN=Tagln PE=1 SV=3",9,5,9,9,9,"TAGL_MOUSE","TAGL_MOUSE"
"KAD2_MOUSE","Ak2","Isoform 2 of Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2",9,6,5,7,6,"sp|Q9WTP6-2|KAD2_MOUSE (+1)","KAD2_MOUSE"
"COPB_MOUSE","Copb1","Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1",11,9,2,12,12,"COPB_MOUSE","COPB_MOUSE"
"PSB1_MOUSE","Psmb1","Proteasome subunit beta type-1 OS=Mus musculus OX=10090 GN=Psmb1 PE=1 SV=1",8,5,6,6,7,"PSB1_MOUSE","PSB1_MOUSE"
"Q3U4W8_MOUSE","Usp5","Ubiquitinyl hydrolase 1 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1",8,9,4,11,12,"Q3U4W8_MOUSE","Q3U4W8_MOUSE"
"IPO5_MOUSE","Ipo5","Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3",7,7,2,10,10,"sp|Q8BKC5|IPO5_MOUSE","IPO5_MOUSE"
"A0A0J9YUZ4_MOUSE","Hmgb1","High mobility group protein B1 (Fragment) OS=Mus musculus OX=10090 GN=Hmgb1 PE=1 SV=1",6,8,2,4,7,"A0A0J9YUZ4_MOUSE","A0A0J9YUZ4_MOUSE"
"COPE_MOUSE","Cope","Coatomer subunit epsilon OS=Mus musculus OX=10090 GN=Cope PE=1 SV=3",9,7,4,8,5,"COPE_MOUSE","COPE_MOUSE"
"G3UXZ5_MOUSE","Psme1","Proteasome activator complex subunit 1 (Fragment) OS=Mus musculus OX=10090 GN=Psme1 PE=1 SV=1",8,6,6,9,9,"G3UXZ5_MOUSE (+1)","G3UXZ5_MOUSE"
"GDIR2_MOUSE","Arhgdib","Rho GDP-dissociation inhibitor 2 OS=Mus musculus OX=10090 GN=Arhgdib PE=1 SV=3",6,6,6,8,7,"GDIR2_MOUSE","GDIR2_MOUSE"
"PARK7_MOUSE","Park7","Protein/nucleic acid deglycase DJ-1 OS=Mus musculus OX=10090 GN=Park7 PE=1 SV=1",8,9,7,8,8,"PARK7_MOUSE","PARK7_MOUSE"
"PCBP1_MOUSE","Pcbp1","Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1",9,7,5,6,7,"PCBP1_MOUSE","PCBP1_MOUSE"
"A2AL12_MOUSE","Hnrnpa3","Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus OX=10090 GN=Hnrnpa3 PE=1 SV=1",5,5,3,6,8,"A2AL12_MOUSE (+1)","A2AL12_MOUSE"
"ALDR_MOUSE","Akr1b1","Aldose reductase OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3",6,6,7,8,6,"ALDR_MOUSE","ALDR_MOUSE"
"DX39B_MOUSE","Ddx39b","Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1",8,6,4,9,8,"DX39B_MOUSE","DX39B_MOUSE"
"PIPNA_MOUSE","Pitpna","Phosphatidylinositol transfer protein alpha isoform OS=Mus musculus OX=10090 GN=Pitpna PE=1 SV=2",7,6,2,8,4,"PIPNA_MOUSE","PIPNA_MOUSE"
"TFR1_MOUSE","Tfrc","Transferrin receptor protein 1 OS=Mus musculus OX=10090 GN=Tfrc PE=1 SV=1",11,12,5,14,6,"TFR1_MOUSE","TFR1_MOUSE"
"ERP44_MOUSE","Erp44","Endoplasmic reticulum resident protein 44 OS=Mus musculus OX=10090 GN=Erp44 PE=1 SV=1",7,5,5,6,7,"ERP44_MOUSE","ERP44_MOUSE"
"HEXA_MOUSE","Hexa","Beta-hexosaminidase subunit alpha OS=Mus musculus OX=10090 GN=Hexa PE=1 SV=2",10,9,6,11,8,"HEXA_MOUSE","HEXA_MOUSE"
"PRDX4_MOUSE","Prdx4","Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1",6,7,5,7,8,"PRDX4_MOUSE","PRDX4_MOUSE"
"VPS35_MOUSE","Vps35","Vacuolar protein sorting-associated protein 35 OS=Mus musculus OX=10090 GN=Vps35 PE=1 SV=1",9,9,7,15,10,"VPS35_MOUSE","VPS35_MOUSE"
"PSMD1_MOUSE","Psmd1","26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus OX=10090 GN=Psmd1 PE=1 SV=1",6,3,2,8,7,"PSMD1_MOUSE","PSMD1_MOUSE"
"ACTC_MOUSE","Actc1","Actin, alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1",2,3,0,3,2,"ACTC_MOUSE","ACTC_MOUSE"
"1433S_MOUSE","Sfn","14-3-3 protein sigma OS=Mus musculus OX=10090 GN=Sfn PE=1 SV=2",5,8,4,8,8,"1433S_MOUSE","1433S_MOUSE"
"A0A1L1SRX2_MOUSE","Ampd3","AMP deaminase OS=Mus musculus OX=10090 GN=Ampd3 PE=1 SV=1",4,4,2,5,6,"A0A1L1SRX2_MOUSE","A0A1L1SRX2_MOUSE"
"ANXA1_MOUSE","Anxa1","Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2",8,5,5,7,10,"ANXA1_MOUSE","ANXA1_MOUSE"
"COR1C_MOUSE","Coro1c","Coronin-1C OS=Mus musculus OX=10090 GN=Coro1c PE=1 SV=2",10,8,8,9,8,"COR1C_MOUSE","COR1C_MOUSE"
"EF1B_MOUSE","Eef1b","Elongation factor 1-beta OS=Mus musculus OX=10090 GN=Eef1b PE=1 SV=5",5,6,4,5,6,"EF1B_MOUSE","EF1B_MOUSE"
"H12_MOUSE","Hist1h1c","Histone H1.2 OS=Mus musculus OX=10090 GN=Hist1h1c PE=1 SV=2",6,6,5,8,8,"H12_MOUSE","H12_MOUSE"
"H3BJ97_MOUSE","Tinagl1","Tubulointerstitial nephritis antigen-like OS=Mus musculus OX=10090 GN=Tinagl1 PE=1 SV=1",6,3,5,7,6,"H3BJ97_MOUSE (+1)","H3BJ97_MOUSE"
"LIPL_MOUSE","Lpl","Lipoprotein lipase OS=Mus musculus OX=10090 GN=Lpl PE=1 SV=3",7,7,8,6,7,"LIPL_MOUSE","LIPL_MOUSE"
"PPCE_MOUSE","Prep","Prolyl endopeptidase OS=Mus musculus OX=10090 GN=Prep PE=1 SV=1",11,7,5,8,11,"PPCE_MOUSE","PPCE_MOUSE"
"PPIC_MOUSE","Ppic","Peptidyl-prolyl cis-trans isomerase C OS=Mus musculus OX=10090 GN=Ppic PE=1 SV=1",6,6,6,7,8,"PPIC_MOUSE","PPIC_MOUSE"
"B2RSG7_MOUSE","Psg18","Pregnancy-specific glycoprotein 18 OS=Mus musculus OX=10090 GN=Psg18 PE=2 SV=1",6,3,0,5,4,"B2RSG7_MOUSE","B2RSG7_MOUSE"
"ANXA5_MOUSE","Anxa5","Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1",8,7,5,5,5,"ANXA5_MOUSE","ANXA5_MOUSE"
"HPRT_MOUSE","Hprt1","Hypoxanthine-guanine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Hprt1 PE=1 SV=3",8,7,6,8,9,"HPRT_MOUSE","HPRT_MOUSE"
"PEBP1_MOUSE","Pebp1","Phosphatidylethanolamine-binding protein 1 OS=Mus musculus OX=10090 GN=Pebp1 PE=1 SV=3",8,7,4,7,8,"PEBP1_MOUSE","PEBP1_MOUSE"
"APOA1_MOUSE","Apoa1","Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2",6,2,5,8,9,"APOA1_MOUSE","APOA1_MOUSE"
"PLTP_MOUSE","Pltp","Phospholipid transfer protein OS=Mus musculus OX=10090 GN=Pltp PE=1 SV=1",10,7,0,8,11,"PLTP_MOUSE","PLTP_MOUSE"
"MK01_MOUSE","Mapk1","Mitogen-activated protein kinase 1 OS=Mus musculus OX=10090 GN=Mapk1 PE=1 SV=3",8,7,3,10,7,"MK01_MOUSE","MK01_MOUSE"
"FBLN1_MOUSE","Fbln1","Fibulin-1 OS=Mus musculus OX=10090 GN=Fbln1 PE=1 SV=2",11,3,4,9,10,"sp|Q08879|FBLN1_MOUSE","FBLN1_MOUSE"
"TRXR1_MOUSE","Txnrd1","Isoform 2 of Thioredoxin reductase 1, cytoplasmic OS=Mus musculus OX=10090 GN=Txnrd1",8,7,9,10,10,"sp|Q9JMH6-2|TRXR1_MOUSE","TRXR1_MOUSE"
"SYNC_MOUSE","Nars","Asparagine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Nars PE=1 SV=2",11,7,3,10,8,"SYNC_MOUSE","SYNC_MOUSE"
"H2A2A_MOUSE","Hist2h2aa1","Histone H2A type 2-A OS=Mus musculus OX=10090 GN=Hist2h2aa1 PE=1 SV=3",0,0,2,3,3,"H2A2A_MOUSE (+1)","H2A2A_MOUSE"
"AL9A1_MOUSE","Aldh9a1","4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh9a1 PE=1 SV=1",9,7,5,9,8,"AL9A1_MOUSE","AL9A1_MOUSE"
"CCN1_MOUSE","Cyr61","Protein CYR61 OS=Mus musculus OX=10090 GN=Cyr61 PE=1 SV=1",7,6,6,8,10,"CYR61_MOUSE","CYR61_MOUSE"
"E9Q718_MOUSE","Plod2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Mus musculus OX=10090 GN=Plod2 PE=1 SV=1",9,4,5,12,10,"E9Q718_MOUSE (+1)","E9Q718_MOUSE"
"SF3B3_MOUSE","Sf3b3","Splicing factor 3B subunit 3 OS=Mus musculus OX=10090 GN=Sf3b3 PE=1 SV=1",7,4,4,11,8,"sp|Q921M3|SF3B3_MOUSE","SF3B3_MOUSE"
"EIF3A_MOUSE","Eif3a","Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5",7,11,0,7,7,"EIF3A_MOUSE","EIF3A_MOUSE"
"GFPT1_MOUSE","Gfpt1","Isoform 2 of Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Mus musculus OX=10090 GN=Gfpt1",12,9,0,10,9,"sp|P47856-2|GFPT1_MOUSE (+1)","GFPT1_MOUSE"
"CO5A2_MOUSE","Col5a2","Collagen alpha-2(V) chain OS=Mus musculus OX=10090 GN=Col5a2 PE=1 SV=1",5,4,5,6,6,"CO5A2_MOUSE","CO5A2_MOUSE"
"GNPI1_MOUSE","Gnpda1","Glucosamine-6-phosphate isomerase 1 OS=Mus musculus OX=10090 GN=Gnpda1 PE=1 SV=3",8,9,9,7,6,"GNPI1_MOUSE","GNPI1_MOUSE"
"GSTO1_MOUSE","Gsto1","Glutathione S-transferase omega-1 OS=Mus musculus OX=10090 GN=Gsto1 PE=1 SV=2",7,4,4,7,7,"GSTO1_MOUSE","GSTO1_MOUSE"
"RLA0_MOUSE","Rplp0","60S acidic ribosomal protein P0 OS=Mus musculus OX=10090 GN=Rplp0 PE=1 SV=3",6,6,4,7,7,"RLA0_MOUSE","RLA0_MOUSE"
"PLOD3_MOUSE","Plod3","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus OX=10090 GN=Plod3 PE=1 SV=1",12,7,2,8,7,"PLOD3_MOUSE","PLOD3_MOUSE"
"PR8A6_MOUSE","Prl8a6","Isoform 3 of Prolactin-8A6 OS=Mus musculus OX=10090 GN=Prl8a6",2,4,0,3,3,"sp|Q9DAY2-3|PR8A6_MOUSE (+1)","PR8A6_MOUSE"
"A0A0R4IZY0_MOUSE","Thop1","Thimet oligopeptidase OS=Mus musculus OX=10090 GN=Thop1 PE=1 SV=1",13,6,5,9,8,"A0A0R4IZY0_MOUSE (+1)","A0A0R4IZY0_MOUSE"
"ASAH1_MOUSE","Asah1","Acid ceramidase OS=Mus musculus OX=10090 GN=Asah1 PE=1 SV=1",7,7,2,10,9,"ASAH1_MOUSE","ASAH1_MOUSE"
"AP2A2_MOUSE","Ap2a2","AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2",8,5,5,8,9,"AP2A2_MOUSE","AP2A2_MOUSE"
"ARPC5_MOUSE","Arpc5","Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=3",4,2,5,5,5,"ARPC5_MOUSE","ARPC5_MOUSE"
"GNS_MOUSE","Gns","N-acetylglucosamine-6-sulfatase OS=Mus musculus OX=10090 GN=Gns PE=1 SV=1",7,8,6,6,11,"GNS_MOUSE","GNS_MOUSE"
"LMCD1_MOUSE","Lmcd1","LIM and cysteine-rich domains protein 1 OS=Mus musculus OX=10090 GN=Lmcd1 PE=1 SV=1",7,7,5,6,7,"LMCD1_MOUSE","LMCD1_MOUSE"
"MPRI_MOUSE","Igf2r","Cation-independent mannose-6-phosphate receptor OS=Mus musculus OX=10090 GN=Igf2r PE=1 SV=1",10,3,3,7,3,"MPRI_MOUSE","MPRI_MOUSE"
"Q8C7E4_MOUSE","Rnase4","Ribonuclease 4 OS=Mus musculus OX=10090 GN=Rnase4 PE=1 SV=1",3,7,3,7,6,"Q8C7E4_MOUSE","Q8C7E4_MOUSE"
"VATB2_MOUSE","Atp6v1b2","V-type proton ATPase subunit B, brain isoform OS=Mus musculus OX=10090 GN=Atp6v1b2 PE=1 SV=1",6,5,2,8,7,"VATB2_MOUSE","VATB2_MOUSE"
"UBC9_MOUSE","Ube2i","SUMO-conjugating enzyme UBC9 OS=Mus musculus OX=10090 GN=Ube2i PE=1 SV=1",4,3,2,5,5,"UBC9_MOUSE","UBC9_MOUSE"
"CSN4_MOUSE","Cops4","COP9 signalosome complex subunit 4 OS=Mus musculus OX=10090 GN=Cops4 PE=1 SV=1",5,3,2,7,5,"CSN4_MOUSE","CSN4_MOUSE"
"DESP_MOUSE","Dsp","Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1",3,0,0,0,0,"DESP_MOUSE","DESP_MOUSE"
"ARPC3_MOUSE","Arpc3","Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3",4,4,2,4,5,"ARPC3_MOUSE","ARPC3_MOUSE"
"EIF3B_MOUSE","Eif3b","Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1",9,10,2,11,11,"EIF3B_MOUSE","EIF3B_MOUSE"
"CO6A5_MOUSE","Col6a5","Collagen alpha-5(VI) chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4",2,0,0,2,2,"sp|A6H584|CO6A5_MOUSE-DECOY (+2)","CO6A5_MOUSE"
"PCLO_MOUSE","Pclo","Isoform 2 of Protein piccolo OS=Mus musculus OX=10090 GN=Pclo",0,0,0,2,0,"sp|Q9QYX7-2|PCLO_MOUSE (+1)","PCLO_MOUSE"
"A0A0R4J0G6_MOUSE","Qpct","Glutaminyl-peptide cyclotransferase OS=Mus musculus OX=10090 GN=Qpct PE=1 SV=1",8,4,5,7,6,"A0A0R4J0G6_MOUSE (+1)","A0A0R4J0G6_MOUSE"
"ARPC4_MOUSE","Arpc4","Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3",7,6,5,7,7,"ARPC4_MOUSE","ARPC4_MOUSE"
"NIBA2_MOUSE","Fam129b","Niban-like protein 1 OS=Mus musculus OX=10090 GN=Fam129b PE=1 SV=2",12,6,4,12,9,"NIBL1_MOUSE","NIBL1_MOUSE"
"PUR9_MOUSE","Atic","Bifunctional purine biosynthesis protein PURH OS=Mus musculus OX=10090 GN=Atic PE=1 SV=2",11,8,4,5,9,"PUR9_MOUSE","PUR9_MOUSE"
"RBBP4_MOUSE","Rbbp4","Histone-binding protein RBBP4 OS=Mus musculus OX=10090 GN=Rbbp4 PE=1 SV=5",9,4,5,6,10,"RBBP4_MOUSE","RBBP4_MOUSE"
"RL12_MOUSE","Rpl12","60S ribosomal protein L12 OS=Mus musculus OX=10090 GN=Rpl12 PE=1 SV=2",7,7,6,7,6,"RL12_MOUSE","RL12_MOUSE"
"TIMP1_MOUSE","Timp1","Metalloproteinase inhibitor 1 OS=Mus musculus OX=10090 GN=Timp1 PE=1 SV=2",5,6,5,6,6,"TIMP1_MOUSE","TIMP1_MOUSE"
"FKB1A_MOUSE","Fkbp1a","Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus OX=10090 GN=Fkbp1a PE=1 SV=2",6,3,2,5,6,"FKB1A_MOUSE","FKB1A_MOUSE"
"S10A6_MOUSE","S100a6","Protein S100-A6 OS=Mus musculus OX=10090 GN=S100a6 PE=1 SV=3",0,2,3,2,0,"S10A6_MOUSE","S10A6_MOUSE"
"XPO1_MOUSE","Xpo1","Exportin-1 OS=Mus musculus OX=10090 GN=Xpo1 PE=1 SV=1",9,5,0,12,9,"XPO1_MOUSE","XPO1_MOUSE"
"A0A0R4J1E2_MOUSE","Eef1d","Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1",5,6,3,7,6,"A0A0R4J1E2_MOUSE","A0A0R4J1E2_MOUSE"
"E9Q6J7_MOUSE","Psg22","Pregnancy-specific glycoprotein 22 OS=Mus musculus OX=10090 GN=Psg22 PE=4 SV=1",6,4,5,3,7,"E9Q6J7_MOUSE (+1)","E9Q6J7_MOUSE"
"GPC1_MOUSE","Gpc1","Glypican-1 OS=Mus musculus OX=10090 GN=Gpc1 PE=1 SV=1",9,2,3,7,8,"GPC1_MOUSE","GPC1_MOUSE"
"Q8C845_MOUSE","Efhd2","EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1",7,7,5,7,7,"Q8C845_MOUSE","Q8C845_MOUSE"
"GSHR_MOUSE","Gsr","Isoform Cytoplasmic of Glutathione reductase, mitochondrial OS=Mus musculus OX=10090 GN=Gsr",7,6,6,8,6,"sp|P47791-2|GSHR_MOUSE (+1)","GSHR_MOUSE"
"YBOX1_MOUSE","Ybx1","Nuclease-sensitive element-binding protein 1 OS=Mus musculus OX=10090 GN=Ybx1 PE=1 SV=3",7,5,3,7,7,"YBOX1_MOUSE","YBOX1_MOUSE"
"SYRC_MOUSE","Rars","Arginine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Rars PE=1 SV=2",7,4,2,6,6,"SYRC_MOUSE","SYRC_MOUSE"
