"MouseGeneName","Accession.New.x","Description.x","Sample1.x","Sample2.x","Sample3.x","Sample4.x","Sample5.x","Accession.Number.ori.x","Accession.Number.x","ProteinID.x","Accession.New.y","Description.y","Sample1.y","Sample2.y","Sample3.y","Sample4.y","Sample5.y","Accession.Number.ori.y","Accession.Number.y","ProteinID.y","HumanGeneName"
"Creld2","CREL2_MOUSE","Cysteine-rich with EGF-like domain protein 2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1",7,7,2,7,6,"CREL2_MOUSE","CREL2_MOUSE","Q9CYA0","CREL2_MOUSE","Cysteine-rich with EGF-like domain protein 2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1",7,7,2,7,6,"CREL2_MOUSE","CREL2_MOUSE","Q9CYA0","CRELD2"
"Crip2","CRIP2_MOUSE","Cysteine-rich protein 2 OS=Mus musculus OX=10090 GN=Crip2 PE=1 SV=1",3,2,3,3,3,"CRIP2_MOUSE","CRIP2_MOUSE","Q9DCT8","CRIP2_MOUSE","Cysteine-rich protein 2 OS=Mus musculus OX=10090 GN=Crip2 PE=1 SV=1",3,2,3,3,3,"CRIP2_MOUSE","CRIP2_MOUSE","Q9DCT8","CRIP2"
"Crk","CRK_MOUSE","Adapter molecule crk OS=Mus musculus OX=10090 GN=Crk PE=1 SV=1",2,0,2,3,5,"sp|Q64010|CRK_MOUSE","CRK_MOUSE","Q64010","CRK_MOUSE","Adapter molecule crk OS=Mus musculus OX=10090 GN=Crk PE=1 SV=1",2,0,2,3,5,"sp|Q64010|CRK_MOUSE","CRK_MOUSE","Q64010","CRK"
"Cryaa","CRYAA_MOUSE","Isoform 2 of Alpha-crystallin A chain OS=Mus musculus OX=10090 GN=Cryaa",4,4,3,4,4,"sp|P24622-2|CRYAA_MOUSE","CRYAA_MOUSE","P24622","CRYAA_MOUSE","Isoform 2 of Alpha-crystallin A chain OS=Mus musculus OX=10090 GN=Cryaa",4,4,3,4,4,"sp|P24622-2|CRYAA_MOUSE","CRYAA_MOUSE","P24622","CRYAA"
"Cryab","CRYAB_MOUSE","Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2",8,8,9,8,9,"CRYAB_MOUSE","CRYAB_MOUSE","P23927","CRYAB_MOUSE","Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2",8,8,9,8,9,"CRYAB_MOUSE","CRYAB_MOUSE","P23927","CRYAB"
"Cse1l","XPO2_MOUSE","Exportin-2 OS=Mus musculus OX=10090 GN=Cse1l PE=1 SV=1",8,5,0,6,7,"XPO2_MOUSE","XPO2_MOUSE","Q9ERK4","XPO2_MOUSE","Exportin-2 OS=Mus musculus OX=10090 GN=Cse1l PE=1 SV=1",8,5,0,6,7,"XPO2_MOUSE","XPO2_MOUSE","Q9ERK4","CSE1L"
"Csf1","CSF1_MOUSE","Macrophage colony-stimulating factor 1 OS=Mus musculus OX=10090 GN=Csf1 PE=1 SV=2",3,2,4,4,4,"sp|P07141|CSF1_MOUSE","CSF1_MOUSE","P07141","CSF1_MOUSE","Macrophage colony-stimulating factor 1 OS=Mus musculus OX=10090 GN=Csf1 PE=1 SV=2",3,2,4,4,4,"sp|P07141|CSF1_MOUSE","CSF1_MOUSE","P07141","CSF1"
"Csf1r","CSF1R_MOUSE","Macrophage colony-stimulating factor 1 receptor OS=Mus musculus OX=10090 GN=Csf1r PE=1 SV=3",6,2,2,4,3,"CSF1R_MOUSE","CSF1R_MOUSE","P09581","CSF1R_MOUSE","Macrophage colony-stimulating factor 1 receptor OS=Mus musculus OX=10090 GN=Csf1r PE=1 SV=3",6,2,2,4,3,"CSF1R_MOUSE","CSF1R_MOUSE","P09581","CSF1R"
"Csrp1","CSRP1_MOUSE","Cysteine and glycine-rich protein 1 OS=Mus musculus OX=10090 GN=Csrp1 PE=1 SV=3",10,9,7,10,9,"CSRP1_MOUSE","CSRP1_MOUSE","P97315","CSRP1_MOUSE","Cysteine and glycine-rich protein 1 OS=Mus musculus OX=10090 GN=Csrp1 PE=1 SV=3",10,9,7,10,9,"CSRP1_MOUSE","CSRP1_MOUSE","P97315","CSRP1"
"Cst3","CYTC_MOUSE","Cystatin-C OS=Mus musculus OX=10090 GN=Cst3 PE=1 SV=2",7,7,7,7,8,"CYTC_MOUSE","CYTC_MOUSE","P21460","CYTC_MOUSE","Cystatin-C OS=Mus musculus OX=10090 GN=Cst3 PE=1 SV=2",7,7,7,7,8,"CYTC_MOUSE","CYTC_MOUSE","P21460","CST3"
"Cstb","CYTB_MOUSE","Cystatin-B OS=Mus musculus OX=10090 GN=Cstb PE=1 SV=1",5,4,4,4,5,"CYTB_MOUSE","CYTB_MOUSE","Q62426","CYTB_MOUSE","Cystatin-B OS=Mus musculus OX=10090 GN=Cstb PE=1 SV=1",5,4,4,4,5,"CYTB_MOUSE","CYTB_MOUSE","Q62426","CSTB"
"Ctgf","CCN2_MOUSE","Connective tissue growth factor OS=Mus musculus OX=10090 GN=Ctgf PE=2 SV=3",16,14,16,17,17,"CTGF_MOUSE","CTGF_MOUSE","P29268","CCN2_MOUSE","Connective tissue growth factor OS=Mus musculus OX=10090 GN=Ctgf PE=2 SV=3",16,14,16,17,17,"CTGF_MOUSE","CTGF_MOUSE","P29268","CTGF"
"Ctnna1","CTNA1_MOUSE","Catenin alpha-1 OS=Mus musculus OX=10090 GN=Ctnna1 PE=1 SV=1",9,5,2,10,8,"CTNA1_MOUSE","CTNA1_MOUSE","P26231","CTNA1_MOUSE","Catenin alpha-1 OS=Mus musculus OX=10090 GN=Ctnna1 PE=1 SV=1",9,5,2,10,8,"CTNA1_MOUSE","CTNA1_MOUSE","P26231","CTNNA1"
"Ctsa","G3X8T3_MOUSE","Carboxypeptidase OS=Mus musculus OX=10090 GN=Ctsa PE=1 SV=1",13,10,9,12,13,"G3X8T3_MOUSE (+1)","G3X8T3_MOUSE","G3X8T3","G3X8T3_MOUSE","Carboxypeptidase OS=Mus musculus OX=10090 GN=Ctsa PE=1 SV=1",13,10,9,12,13,"G3X8T3_MOUSE (+1)","G3X8T3_MOUSE","G3X8T3","CTSA"
"Ctsb","CATB_MOUSE","Cathepsin B OS=Mus musculus OX=10090 GN=Ctsb PE=1 SV=2",15,14,15,16,15,"CATB_MOUSE","CATB_MOUSE","P10605","CATB_MOUSE","Cathepsin B OS=Mus musculus OX=10090 GN=Ctsb PE=1 SV=2",15,14,15,16,15,"CATB_MOUSE","CATB_MOUSE","P10605","CTSB"
"Ctsd","CATD_MOUSE","Cathepsin D OS=Mus musculus OX=10090 GN=Ctsd PE=1 SV=1",17,16,17,16,15,"CATD_MOUSE","CATD_MOUSE","P18242","CATD_MOUSE","Cathepsin D OS=Mus musculus OX=10090 GN=Ctsd PE=1 SV=1",17,16,17,16,15,"CATD_MOUSE","CATD_MOUSE","P18242","CTSD"
"Ctsk","CATK_MOUSE","Cathepsin K OS=Mus musculus OX=10090 GN=Ctsk PE=1 SV=2",3,2,2,4,3,"CATK_MOUSE","CATK_MOUSE","P55097","CATK_MOUSE","Cathepsin K OS=Mus musculus OX=10090 GN=Ctsk PE=1 SV=2",3,2,2,4,3,"CATK_MOUSE","CATK_MOUSE","P55097","CTSK"
"Ctsl","CATL1_MOUSE","Cathepsin L1 OS=Mus musculus OX=10090 GN=Ctsl PE=1 SV=2",12,11,11,13,12,"CATL1_MOUSE","CATL1_MOUSE","P06797","CATL1_MOUSE","Cathepsin L1 OS=Mus musculus OX=10090 GN=Ctsl PE=1 SV=2",12,11,11,13,12,"CATL1_MOUSE","CATL1_MOUSE","P06797","CTSV"
"Ctss","CATS_MOUSE","Cathepsin S OS=Mus musculus OX=10090 GN=Ctss PE=1 SV=2",10,7,9,10,8,"CATS_MOUSE (+1)","CATS_MOUSE","O70370","CATS_MOUSE","Cathepsin S OS=Mus musculus OX=10090 GN=Ctss PE=1 SV=2",10,7,9,10,8,"CATS_MOUSE (+1)","CATS_MOUSE","O70370","CTSS"
"Ctsz","CATZ_MOUSE","Cathepsin Z OS=Mus musculus OX=10090 GN=Ctsz PE=1 SV=1",8,6,6,8,7,"CATZ_MOUSE","CATZ_MOUSE","Q9WUU7","CATZ_MOUSE","Cathepsin Z OS=Mus musculus OX=10090 GN=Ctsz PE=1 SV=1",8,6,6,8,7,"CATZ_MOUSE","CATZ_MOUSE","Q9WUU7","CTSZ"
"Cttn","SRC8_MOUSE","Src substrate cortactin OS=Mus musculus OX=10090 GN=Cttn PE=1 SV=2",2,3,0,4,3,"SRC8_MOUSE (+1)","SRC8_MOUSE","Q60598","SRC8_MOUSE","Src substrate cortactin OS=Mus musculus OX=10090 GN=Cttn PE=1 SV=2",2,3,0,4,3,"SRC8_MOUSE (+1)","SRC8_MOUSE","Q60598","CTTN"
"Cycs","CYC_MOUSE","Cytochrome c, somatic OS=Mus musculus OX=10090 GN=Cycs PE=1 SV=2",6,6,6,6,6,"CYC_MOUSE","CYC_MOUSE","P62897","CYC_MOUSE","Cytochrome c, somatic OS=Mus musculus OX=10090 GN=Cycs PE=1 SV=2",6,6,6,6,6,"CYC_MOUSE","CYC_MOUSE","P62897","CYCS"
"Cyr61","CCN1_MOUSE","Protein CYR61 OS=Mus musculus OX=10090 GN=Cyr61 PE=1 SV=1",7,6,6,8,10,"CYR61_MOUSE","CYR61_MOUSE","P18406","CCN1_MOUSE","Protein CYR61 OS=Mus musculus OX=10090 GN=Cyr61 PE=1 SV=1",7,6,6,8,10,"CYR61_MOUSE","CYR61_MOUSE","P18406","CYR61"
"Dag1","DAG1_MOUSE","Dystroglycan OS=Mus musculus OX=10090 GN=Dag1 PE=1 SV=4",5,0,3,4,6,"DAG1_MOUSE","DAG1_MOUSE","Q62165","DAG1_MOUSE","Dystroglycan OS=Mus musculus OX=10090 GN=Dag1 PE=1 SV=4",5,0,3,4,6,"DAG1_MOUSE","DAG1_MOUSE","Q62165","DAG1"
"Dars","SYDC_MOUSE","Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Dars PE=1 SV=2",8,4,3,4,7,"SYDC_MOUSE","SYDC_MOUSE","Q922B2","SYDC_MOUSE","Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Dars PE=1 SV=2",8,4,3,4,7,"SYDC_MOUSE","SYDC_MOUSE","Q922B2","DARS1"
"Dbi","ACBP_MOUSE","Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=2",2,2,2,2,2,"ACBP_MOUSE (+1)","ACBP_MOUSE","P31786","ACBP_MOUSE","Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=2",2,2,2,2,2,"ACBP_MOUSE (+1)","ACBP_MOUSE","P31786","DBI"
"Dbnl","DBNL_MOUSE","Isoform 2 of Drebrin-like protein OS=Mus musculus OX=10090 GN=Dbnl",7,4,0,4,5,"sp|Q62418-2|DBNL_MOUSE (+2)","DBNL_MOUSE","Q62418","DBNL_MOUSE","Isoform 2 of Drebrin-like protein OS=Mus musculus OX=10090 GN=Dbnl",7,4,0,4,5,"sp|Q62418-2|DBNL_MOUSE (+2)","DBNL_MOUSE","Q62418","DBNL"
"Dcn","PGS2_MOUSE","Decorin OS=Mus musculus OX=10090 GN=Dcn PE=1 SV=1",16,14,16,15,16,"PGS2_MOUSE","PGS2_MOUSE","P28654","PGS2_MOUSE","Decorin OS=Mus musculus OX=10090 GN=Dcn PE=1 SV=1",16,14,16,15,16,"PGS2_MOUSE","PGS2_MOUSE","P28654","DCN"
"Dctn2","DCTN2_MOUSE","Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3",7,3,0,4,5,"DCTN2_MOUSE","DCTN2_MOUSE","Q99KJ8","DCTN2_MOUSE","Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3",7,3,0,4,5,"DCTN2_MOUSE","DCTN2_MOUSE","Q99KJ8","DCTN2"
"Ddb1","DDB1_MOUSE","DNA damage-binding protein 1 OS=Mus musculus OX=10090 GN=Ddb1 PE=1 SV=2",20,20,8,22,11,"DDB1_MOUSE","DDB1_MOUSE","Q3U1J4","DDB1_MOUSE","DNA damage-binding protein 1 OS=Mus musculus OX=10090 GN=Ddb1 PE=1 SV=2",20,20,8,22,11,"DDB1_MOUSE","DDB1_MOUSE","Q3U1J4","DDB1"
"Ddt","DOPD_MOUSE","D-dopachrome decarboxylase OS=Mus musculus OX=10090 GN=Ddt PE=1 SV=3",4,3,3,5,5,"DOPD_MOUSE","DOPD_MOUSE","O35215","DOPD_MOUSE","D-dopachrome decarboxylase OS=Mus musculus OX=10090 GN=Ddt PE=1 SV=3",4,3,3,5,5,"DOPD_MOUSE","DOPD_MOUSE","O35215","DDT"
"Ddx39b","DX39B_MOUSE","Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1",8,6,4,9,8,"DX39B_MOUSE","DX39B_MOUSE","Q9Z1N5","DX39B_MOUSE","Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1",8,6,4,9,8,"DX39B_MOUSE","DX39B_MOUSE","Q9Z1N5","DDX39B"
"Denr","DENR_MOUSE","Density-regulated protein OS=Mus musculus OX=10090 GN=Denr PE=1 SV=1",3,2,0,2,2,"DENR_MOUSE","DENR_MOUSE","Q9CQJ6","DENR_MOUSE","Density-regulated protein OS=Mus musculus OX=10090 GN=Denr PE=1 SV=1",3,2,0,2,2,"DENR_MOUSE","DENR_MOUSE","Q9CQJ6","DENR"
"Des","DESM_MOUSE","Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3",35,34,32,39,36,"DESM_MOUSE","DESM_MOUSE","P31001","DESM_MOUSE","Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3",35,34,32,39,36,"DESM_MOUSE","DESM_MOUSE","P31001","DES"
"Dld","DLDH_MOUSE","Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2",6,7,5,7,6,"DLDH_MOUSE","DLDH_MOUSE","O08749","DLDH_MOUSE","Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2",6,7,5,7,6,"DLDH_MOUSE","DLDH_MOUSE","O08749","DLD"
"Dnajb11","DJB11_MOUSE","DnaJ homolog subfamily B member 11 OS=Mus musculus OX=10090 GN=Dnajb11 PE=1 SV=1",6,6,3,7,5,"DJB11_MOUSE","DJB11_MOUSE","Q99KV1","DJB11_MOUSE","DnaJ homolog subfamily B member 11 OS=Mus musculus OX=10090 GN=Dnajb11 PE=1 SV=1",6,6,3,7,5,"DJB11_MOUSE","DJB11_MOUSE","Q99KV1","DNAJB11"
"Dnajc3","DNJC3_MOUSE","DnaJ homolog subfamily C member 3 OS=Mus musculus OX=10090 GN=Dnajc3 PE=1 SV=1",5,4,0,10,3,"DNJC3_MOUSE","DNJC3_MOUSE","Q91YW3","DNJC3_MOUSE","DnaJ homolog subfamily C member 3 OS=Mus musculus OX=10090 GN=Dnajc3 PE=1 SV=1",5,4,0,10,3,"DNJC3_MOUSE","DNJC3_MOUSE","Q91YW3","DNAJC3"
"Dnase1l3","DNSL3_MOUSE","Deoxyribonuclease gamma OS=Mus musculus OX=10090 GN=Dnase1l3 PE=1 SV=1",12,10,4,17,13,"DNSL3_MOUSE","DNSL3_MOUSE","O55070","DNSL3_MOUSE","Deoxyribonuclease gamma OS=Mus musculus OX=10090 GN=Dnase1l3 PE=1 SV=1",12,10,4,17,13,"DNSL3_MOUSE","DNSL3_MOUSE","O55070","DNASE1L3"
"Dnase2a","D3Z512_MOUSE","Deoxyribonuclease II alpha OS=Mus musculus OX=10090 GN=Dnase2a PE=1 SV=1",3,2,0,2,2,"D3Z512_MOUSE (+1)","D3Z512_MOUSE","D3Z512","D3Z512_MOUSE","Deoxyribonuclease II alpha OS=Mus musculus OX=10090 GN=Dnase2a PE=1 SV=1",3,2,0,2,2,"D3Z512_MOUSE (+1)","D3Z512_MOUSE","D3Z512","DNASE2"
"Dnpep","DNPEP_MOUSE","Aspartyl aminopeptidase OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=2",11,9,13,15,12,"DNPEP_MOUSE (+1)","DNPEP_MOUSE","Q9Z2W0","DNPEP_MOUSE","Aspartyl aminopeptidase OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=2",11,9,13,15,12,"DNPEP_MOUSE (+1)","DNPEP_MOUSE","Q9Z2W0","DNPEP"
"Doxl2","Q6IMK7_MOUSE","Amine oxidase OS=Mus musculus OX=10090 GN=Doxl2 PE=3 SV=1",19,12,11,14,14,"Q6IMK7_MOUSE","Q6IMK7_MOUSE","Q6IMK7","Q6IMK7_MOUSE","Amine oxidase OS=Mus musculus OX=10090 GN=Doxl2 PE=3 SV=1",19,12,11,14,14,"Q6IMK7_MOUSE","Q6IMK7_MOUSE","Q6IMK7","AOC1"
"Dpp3","DPP3_MOUSE","Dipeptidyl peptidase 3 OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=2",18,13,9,14,15,"DPP3_MOUSE","DPP3_MOUSE","Q99KK7","DPP3_MOUSE","Dipeptidyl peptidase 3 OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=2",18,13,9,14,15,"DPP3_MOUSE","DPP3_MOUSE","Q99KK7","DPP3"
"Dpp7","DPP2_MOUSE","Dipeptidyl peptidase 2 OS=Mus musculus OX=10090 GN=Dpp7 PE=1 SV=2",4,3,3,5,3,"DPP2_MOUSE","DPP2_MOUSE","Q9ET22","DPP2_MOUSE","Dipeptidyl peptidase 2 OS=Mus musculus OX=10090 GN=Dpp7 PE=1 SV=2",4,3,3,5,3,"DPP2_MOUSE","DPP2_MOUSE","Q9ET22","DPP7"
"Dpysl2","DPYL2_MOUSE","Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2",24,21,15,22,21,"DPYL2_MOUSE","DPYL2_MOUSE","O08553","DPYL2_MOUSE","Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2",24,21,15,22,21,"DPYL2_MOUSE","DPYL2_MOUSE","O08553","DPYSL2"
"Dsc2","DSC2_MOUSE","Isoform 2B of Desmocollin-2 OS=Mus musculus OX=10090 GN=Dsc2",4,2,0,4,6,"sp|P55292-2|DSC2_MOUSE (+1)","DSC2_MOUSE","P55292","DSC2_MOUSE","Isoform 2B of Desmocollin-2 OS=Mus musculus OX=10090 GN=Dsc2",4,2,0,4,6,"sp|P55292-2|DSC2_MOUSE (+1)","DSC2_MOUSE","P55292","DSC2"
"Dsg2","DSG2_MOUSE","Desmoglein-2 OS=Mus musculus OX=10090 GN=Dsg2 PE=1 SV=3",9,3,4,8,8,"DSG2_MOUSE","DSG2_MOUSE","O55111","DSG2_MOUSE","Desmoglein-2 OS=Mus musculus OX=10090 GN=Dsg2 PE=1 SV=3",9,3,4,8,8,"DSG2_MOUSE","DSG2_MOUSE","O55111","DSG2"
"Dstn","DEST_MOUSE","Destrin OS=Mus musculus OX=10090 GN=Dstn PE=1 SV=3",12,10,10,10,9,"DEST_MOUSE","DEST_MOUSE","Q9R0P5","DEST_MOUSE","Destrin OS=Mus musculus OX=10090 GN=Dstn PE=1 SV=3",12,10,10,10,9,"DEST_MOUSE","DEST_MOUSE","Q9R0P5","DSTN"
"Dusp9","Q7TNL7_MOUSE","Dual specificity protein phosphatase OS=Mus musculus OX=10090 GN=Dusp9 PE=1 SV=1",2,3,0,2,2,"Q7TNL7_MOUSE","Q7TNL7_MOUSE","Q7TNL7","Q7TNL7_MOUSE","Dual specificity protein phosphatase OS=Mus musculus OX=10090 GN=Dusp9 PE=1 SV=1",2,3,0,2,2,"Q7TNL7_MOUSE","Q7TNL7_MOUSE","Q7TNL7","DUSP9"
"Dync1h1","DYHC1_MOUSE","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2",16,12,0,14,18,"DYHC1_MOUSE","DYHC1_MOUSE","Q9JHU4","DYHC1_MOUSE","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2",16,12,0,14,18,"DYHC1_MOUSE","DYHC1_MOUSE","Q9JHU4","DYNC1H1"
"Dync1i2","A2BFF9_MOUSE","Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1",5,3,2,3,2,"A2BFF9_MOUSE (+2)","A2BFF9_MOUSE","A2BFF9","A2BFF9_MOUSE","Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1",5,3,2,3,2,"A2BFF9_MOUSE (+2)","A2BFF9_MOUSE","A2BFF9","DYNC1I2"
"Ecm1","ECM1_MOUSE","Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2",13,6,7,11,12,"sp|Q61508|ECM1_MOUSE","ECM1_MOUSE","Q61508","ECM1_MOUSE","Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2",13,6,7,11,12,"sp|Q61508|ECM1_MOUSE","ECM1_MOUSE","Q61508","ECM1"
"Eef1a1","EF1A1_MOUSE","Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3",14,12,11,15,13,"EF1A1_MOUSE","EF1A1_MOUSE","P10126","EF1A1_MOUSE","Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3",14,12,11,15,13,"EF1A1_MOUSE","EF1A1_MOUSE","P10126","EEF1A1"
"Eef1d","A0A0R4J1E2_MOUSE","Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1",5,6,3,7,6,"A0A0R4J1E2_MOUSE","A0A0R4J1E2_MOUSE","A0A0R4J1E2","A0A0R4J1E2_MOUSE","Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1",5,6,3,7,6,"A0A0R4J1E2_MOUSE","A0A0R4J1E2_MOUSE","A0A0R4J1E2","EEF1D"
"Eef1e1","MCA3_MOUSE","Eukaryotic translation elongation factor 1 epsilon-1 OS=Mus musculus OX=10090 GN=Eef1e1 PE=1 SV=1",3,4,0,2,2,"MCA3_MOUSE","MCA3_MOUSE","Q9D1M4","MCA3_MOUSE","Eukaryotic translation elongation factor 1 epsilon-1 OS=Mus musculus OX=10090 GN=Eef1e1 PE=1 SV=1",3,4,0,2,2,"MCA3_MOUSE","MCA3_MOUSE","Q9D1M4","EEF1E1"
"Eef1g","EF1G_MOUSE","Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3",15,14,11,17,15,"EF1G_MOUSE","EF1G_MOUSE","Q9D8N0","EF1G_MOUSE","Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3",15,14,11,17,15,"EF1G_MOUSE","EF1G_MOUSE","Q9D8N0","EEF1G"
"Eef2","EF2_MOUSE","Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2",36,31,30,33,36,"EF2_MOUSE","EF2_MOUSE","P58252","EF2_MOUSE","Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2",36,31,30,33,36,"EF2_MOUSE","EF2_MOUSE","P58252","EEF2"
"Efhd2","Q8C845_MOUSE","EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1",7,7,5,7,7,"Q8C845_MOUSE","Q8C845_MOUSE","Q8C845","Q8C845_MOUSE","EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1",7,7,5,7,7,"Q8C845_MOUSE","Q8C845_MOUSE","Q8C845","EFHD2"
"Eif2a","EIF2A_MOUSE","Eukaryotic translation initiation factor 2A OS=Mus musculus OX=10090 GN=Eif2a PE=1 SV=2",3,3,0,3,4,"sp|Q8BJW6|EIF2A_MOUSE","EIF2A_MOUSE","Q8BJW6","EIF2A_MOUSE","Eukaryotic translation initiation factor 2A OS=Mus musculus OX=10090 GN=Eif2a PE=1 SV=2",3,3,0,3,4,"sp|Q8BJW6|EIF2A_MOUSE","EIF2A_MOUSE","Q8BJW6","EIF2A"
"Eif2s1","IF2A_MOUSE","Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus OX=10090 GN=Eif2s1 PE=1 SV=3",8,7,4,13,10,"IF2A_MOUSE","IF2A_MOUSE","Q6ZWX6","IF2A_MOUSE","Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus OX=10090 GN=Eif2s1 PE=1 SV=3",8,7,4,13,10,"IF2A_MOUSE","IF2A_MOUSE","Q6ZWX6","EIF2S1"
"Eif2s3x","IF2G_MOUSE","Eukaryotic translation initiation factor 2 subunit 3, X-linked OS=Mus musculus OX=10090 GN=Eif2s3x PE=1 SV=2",7,8,3,11,3,"IF2G_MOUSE","IF2G_MOUSE","Q9Z0N1","IF2G_MOUSE","Eukaryotic translation initiation factor 2 subunit 3, X-linked OS=Mus musculus OX=10090 GN=Eif2s3x PE=1 SV=2",7,8,3,11,3,"IF2G_MOUSE","IF2G_MOUSE","Q9Z0N1","EIF2S3"
"Eif3a","EIF3A_MOUSE","Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5",7,11,0,7,7,"EIF3A_MOUSE","EIF3A_MOUSE","P23116","EIF3A_MOUSE","Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5",7,11,0,7,7,"EIF3A_MOUSE","EIF3A_MOUSE","P23116","EIF3A"
"Eif3b","EIF3B_MOUSE","Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1",9,10,2,11,11,"EIF3B_MOUSE","EIF3B_MOUSE","Q8JZQ9","EIF3B_MOUSE","Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1",9,10,2,11,11,"EIF3B_MOUSE","EIF3B_MOUSE","Q8JZQ9","EIF3B"
"Eif3c","EIF3C_MOUSE","Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1",3,6,0,5,2,"EIF3C_MOUSE","EIF3C_MOUSE","Q8R1B4","EIF3C_MOUSE","Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1",3,6,0,5,2,"EIF3C_MOUSE","EIF3C_MOUSE","Q8R1B4","EIF3C"
"Eif3e","EIF3E_MOUSE","Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus OX=10090 GN=Eif3e PE=1 SV=1",2,6,0,2,4,"EIF3E_MOUSE","EIF3E_MOUSE","P60229","EIF3E_MOUSE","Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus OX=10090 GN=Eif3e PE=1 SV=1",2,6,0,2,4,"EIF3E_MOUSE","EIF3E_MOUSE","P60229","EIF3E"
"Eif3g","EIF3G_MOUSE","Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus OX=10090 GN=Eif3g PE=1 SV=2",4,2,0,4,6,"EIF3G_MOUSE","EIF3G_MOUSE","Q9Z1D1","EIF3G_MOUSE","Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus OX=10090 GN=Eif3g PE=1 SV=2",4,2,0,4,6,"EIF3G_MOUSE","EIF3G_MOUSE","Q9Z1D1","EIF3G"
