#,Visible?,Starred?,Identified Proteins (1467),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,BioSample 1,BioSample 2,BioSample 3,BioSample 4,BioSample 5,MP
520,TRUE,Empty,Protein FAM49B OS=Mus musculus OX=10090 GN=Fam49b PE=1 SV=1,FA49B_MOUSE,,37 kDa,,unknown,12,10,9,10,9,10
337,TRUE,Empty,Glutathione S-transferase Mu 2 OS=Mus musculus OX=10090 GN=Gstm2 PE=1 SV=2,GSTM2_MOUSE,,26 kDa,TRUE,unknown,9,7,7,9,9,8.2
310,TRUE,Empty,Metalloproteinase inhibitor 2 OS=Mus musculus OX=10090 GN=Timp2 PE=1 SV=1,Q6PI17_MOUSE (+1),,24 kDa,,unknown,9,7,6,9,9,8
176,TRUE,Empty,Carcinoembryonic antigen-related cell adhesion molecule 13 OS=Mus musculus OX=10090 GN=Ceacam13 PE=1 SV=1,Q9DAT7_MOUSE (+1),,29 kDa,TRUE,unknown,9,7,3,8,7,6.8
293,TRUE,Empty,Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2,CRYAB_MOUSE,,20 kDa,,unknown,8,8,9,8,9,8.4
372,TRUE,Empty,Acylamino-acid-releasing enzyme (Fragment) OS=Mus musculus OX=10090 GN=Apeh PE=1 SV=1,A0A0R4J107_MOUSE (+2),,80 kDa,,unknown,12,11,8,11,8,10
542,TRUE,Empty,Glutathione S-transferase P 1 OS=Mus musculus OX=10090 GN=Gstp1 PE=1 SV=2,GSTP1_MOUSE,,24 kDa,,unknown,7,5,4,5,7,5.6
454,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase D OS=Mus musculus OX=10090 GN=Ppid PE=1 SV=3,PPID_MOUSE,,41 kDa,,unknown,10,5,4,6,8,6.6
246,TRUE,Empty,Proteasome subunit alpha type-5 OS=Mus musculus OX=10090 GN=Psma5 PE=1 SV=1,PSA5_MOUSE,,26 kDa,,unknown,8,6,6,8,7,7
575,TRUE,Empty,Isoform 2 of Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus OX=10090 GN=Hnrnpf,sp|Q9Z2X1-2|HNRPF_MOUSE (+1),,44 kDa,TRUE,unknown,5,5,4,5,4,4.6
554,TRUE,Empty,Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=2,FAS_MOUSE,,272 kDa,,unknown,12,6,0,8,14,8
593,TRUE,Empty,Fermitin family homolog 2 OS=Mus musculus OX=10090 GN=Fermt2 PE=1 SV=1,FERM2_MOUSE,,78 kDa,,unknown,8,7,3,11,9,7.6
217,TRUE,Empty,Rab GDP dissociation inhibitor alpha OS=Mus musculus OX=10090 GN=Gdi1 PE=1 SV=3,GDIA_MOUSE,,51 kDa,TRUE,unknown,12,9,8,10,10,9.8
277,TRUE,Empty,"H-2 class I histocompatibility antigen, K-B alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=1",HA1B_MOUSE (+1),,41 kDa,TRUE,unknown,7,7,4,8,8,6.8
307,TRUE,Empty,Proteasome subunit beta type-6 OS=Mus musculus OX=10090 GN=Psmb6 PE=1 SV=3,PSB6_MOUSE,,25 kDa,,unknown,9,8,6,8,9,8
386,TRUE,Empty,Proliferation-associated protein 2G4 OS=Mus musculus OX=10090 GN=Pa2g4 PE=1 SV=3,sp|P50580|PA2G4_MOUSE,,44 kDa,,unknown,9,7,5,10,11,8.4
479,TRUE,Empty,Nuclear migration protein nudC OS=Mus musculus OX=10090 GN=Nudc PE=1 SV=1,NUDC_MOUSE,,38 kDa,,unknown,8,7,6,6,8,7
385,TRUE,Empty,Methanethiol oxidase OS=Mus musculus OX=10090 GN=Selenbp1 PE=1 SV=2,SBP1_MOUSE,,53 kDa,,unknown,12,7,9,10,9,9.4
424,TRUE,Empty,Thioredoxin-like protein 1 OS=Mus musculus OX=10090 GN=Txnl1 PE=1 SV=3,TXNL1_MOUSE,,32 kDa,,unknown,7,6,8,7,9,7.4
629,TRUE,Empty,Catenin alpha-1 OS=Mus musculus OX=10090 GN=Ctnna1 PE=1 SV=1,CTNA1_MOUSE,,100 kDa,TRUE,unknown,9,5,2,10,8,6.8
380,TRUE,Empty,Amyloid-beta A4 protein OS=Mus musculus OX=10090 GN=App PE=1 SV=1,A0A2I3BPT1_MOUSE (+3),,83 kDa,TRUE,unknown,10,5,6,12,8,8.2
329,TRUE,Empty,Phosphoglucomutase-2 OS=Mus musculus OX=10090 GN=Pgm2 PE=1 SV=1,PGM2_MOUSE,,69 kDa,,unknown,13,9,5,9,10,9.2
490,TRUE,Empty,"X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b OS=Mus musculus OX=10090 GN=Xpnpep1 PE=1 SV=1",Q3UE92_MOUSE (+1),,75 kDa,TRUE,unknown,6,6,6,9,7,6.8
628,TRUE,Empty,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus OX=10090 GN=Eprs PE=1 SV=4,SYEP_MOUSE,,170 kDa,,unknown,11,11,3,9,7,8.2
476,TRUE,Empty,Transgelin OS=Mus musculus OX=10090 GN=Tagln PE=1 SV=3,TAGL_MOUSE,,23 kDa,,unknown,9,5,9,9,9,8.2
368,TRUE,Empty,"Isoform 2 of Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2",sp|Q9WTP6-2|KAD2_MOUSE (+1),,26 kDa,,unknown,9,6,5,7,6,6.6
470,TRUE,Empty,Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1,COPB_MOUSE,,107 kDa,,unknown,11,9,2,12,12,9.2
254,TRUE,Empty,Proteasome subunit beta type-1 OS=Mus musculus OX=10090 GN=Psmb1 PE=1 SV=1,PSB1_MOUSE,,26 kDa,,unknown,8,5,6,6,7,6.4
636,TRUE,Empty,Ubiquitinyl hydrolase 1 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1,Q3U4W8_MOUSE,,93 kDa,,unknown,8,9,4,11,12,8.8
655,TRUE,Empty,Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3,sp|Q8BKC5|IPO5_MOUSE,,124 kDa,TRUE,unknown,7,7,2,10,10,7.2
561,TRUE,Empty,High mobility group protein B1 (Fragment) OS=Mus musculus OX=10090 GN=Hmgb1 PE=1 SV=1,A0A0J9YUZ4_MOUSE,,24 kDa,TRUE,unknown,6,8,2,4,7,5.4
447,TRUE,Empty,Coatomer subunit epsilon OS=Mus musculus OX=10090 GN=Cope PE=1 SV=3,COPE_MOUSE,,35 kDa,TRUE,unknown,9,7,4,8,5,6.6
469,TRUE,Empty,Proteasome activator complex subunit 1 (Fragment) OS=Mus musculus OX=10090 GN=Psme1 PE=1 SV=1,G3UXZ5_MOUSE (+1),,27 kDa,,unknown,8,6,6,9,9,7.6
465,TRUE,Empty,Rho GDP-dissociation inhibitor 2 OS=Mus musculus OX=10090 GN=Arhgdib PE=1 SV=3,GDIR2_MOUSE,,23 kDa,,unknown,6,6,6,8,7,6.6
412,TRUE,Empty,Protein/nucleic acid deglycase DJ-1 OS=Mus musculus OX=10090 GN=Park7 PE=1 SV=1,PARK7_MOUSE,,20 kDa,,unknown,8,9,7,8,8,8
453,TRUE,Empty,Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1,PCBP1_MOUSE,,37 kDa,TRUE,unknown,9,7,5,6,7,6.8
378,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus OX=10090 GN=Hnrnpa3 PE=1 SV=1,A2AL12_MOUSE (+1),,34 kDa,TRUE,unknown,5,5,3,6,8,5.4
514,TRUE,Empty,Aldose reductase OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3,ALDR_MOUSE,,36 kDa,,unknown,6,6,7,8,6,6.6
402,TRUE,Empty,Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1,DX39B_MOUSE,,49 kDa,,unknown,8,6,4,9,8,7
624,TRUE,Empty,Phosphatidylinositol transfer protein alpha isoform OS=Mus musculus OX=10090 GN=Pitpna PE=1 SV=2,PIPNA_MOUSE,,32 kDa,TRUE,unknown,7,6,2,8,4,5.4
505,TRUE,Empty,Transferrin receptor protein 1 OS=Mus musculus OX=10090 GN=Tfrc PE=1 SV=1,TFR1_MOUSE,,86 kDa,,unknown,11,12,5,14,6,9.6
388,TRUE,Empty,Endoplasmic reticulum resident protein 44 OS=Mus musculus OX=10090 GN=Erp44 PE=1 SV=1,ERP44_MOUSE,,47 kDa,,unknown,7,5,5,6,7,6
334,TRUE,Empty,Beta-hexosaminidase subunit alpha OS=Mus musculus OX=10090 GN=Hexa PE=1 SV=2,HEXA_MOUSE,,61 kDa,,unknown,10,9,6,11,8,8.8
189,TRUE,Empty,Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1,PRDX4_MOUSE,,31 kDa,TRUE,unknown,6,7,5,7,8,6.6
502,TRUE,Empty,Vacuolar protein sorting-associated protein 35 OS=Mus musculus OX=10090 GN=Vps35 PE=1 SV=1,VPS35_MOUSE,,92 kDa,,unknown,9,9,7,15,10,10
656,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus OX=10090 GN=Psmd1 PE=1 SV=1,PSMD1_MOUSE,,106 kDa,,unknown,6,3,2,8,7,5.2
19,TRUE,Empty,"Actin, alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1",ACTC_MOUSE,,42 kDa,TRUE,unknown,2,3,0,3,2,2
88,TRUE,Empty,14-3-3 protein sigma OS=Mus musculus OX=10090 GN=Sfn PE=1 SV=2,1433S_MOUSE,,28 kDa,TRUE,unknown,5,8,4,8,8,6.6
604,TRUE,Empty,AMP deaminase OS=Mus musculus OX=10090 GN=Ampd3 PE=1 SV=1,A0A1L1SRX2_MOUSE,,90 kDa,TRUE,unknown,4,4,2,5,6,4.2
611,TRUE,Empty,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2,ANXA1_MOUSE,,39 kDa,,unknown,8,5,5,7,10,7
363,TRUE,Empty,Coronin-1C OS=Mus musculus OX=10090 GN=Coro1c PE=1 SV=2,COR1C_MOUSE,,53 kDa,,unknown,10,8,8,9,8,8.6
371,TRUE,Empty,Elongation factor 1-beta OS=Mus musculus OX=10090 GN=Eef1b PE=1 SV=5,EF1B_MOUSE,,25 kDa,,unknown,5,6,4,5,6,5.2
309,TRUE,Empty,Histone H1.2 OS=Mus musculus OX=10090 GN=Hist1h1c PE=1 SV=2,H12_MOUSE,,21 kDa,TRUE,unknown,6,6,5,8,8,6.6
660,TRUE,Empty,Tubulointerstitial nephritis antigen-like OS=Mus musculus OX=10090 GN=Tinagl1 PE=1 SV=1,H3BJ97_MOUSE (+1),,49 kDa,,unknown,6,3,5,7,6,5.4
714,TRUE,Empty,Lipoprotein lipase OS=Mus musculus OX=10090 GN=Lpl PE=1 SV=3,LIPL_MOUSE,,53 kDa,,unknown,7,7,8,6,7,7
571,TRUE,Empty,Prolyl endopeptidase OS=Mus musculus OX=10090 GN=Prep PE=1 SV=1,PPCE_MOUSE,,81 kDa,,unknown,11,7,5,8,11,8.4
439,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase C OS=Mus musculus OX=10090 GN=Ppic PE=1 SV=1,PPIC_MOUSE,,23 kDa,,unknown,6,6,6,7,8,6.6
49,TRUE,Empty,Pregnancy-specific glycoprotein 18 OS=Mus musculus OX=10090 GN=Psg18 PE=2 SV=1,B2RSG7_MOUSE,,54 kDa,TRUE,unknown,6,3,0,5,4,3.6
555,TRUE,Empty,Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1,ANXA5_MOUSE,,36 kDa,,unknown,8,7,5,5,5,6
448,TRUE,Empty,Hypoxanthine-guanine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Hprt1 PE=1 SV=3,HPRT_MOUSE,,25 kDa,,unknown,8,7,6,8,9,7.6
212,TRUE,Empty,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus OX=10090 GN=Pebp1 PE=1 SV=3,PEBP1_MOUSE,,21 kDa,,unknown,8,7,4,7,8,6.8
328,TRUE,Empty,Apolipoprotein A-I OS=Mus musculus OX=10090 GN=Apoa1 PE=1 SV=2,APOA1_MOUSE,,31 kDa,,unknown,6,2,5,8,9,6
359,TRUE,Empty,Phospholipid transfer protein OS=Mus musculus OX=10090 GN=Pltp PE=1 SV=1,PLTP_MOUSE,,54 kDa,,unknown,10,7,0,8,11,7.2
440,TRUE,Empty,Mitogen-activated protein kinase 1 OS=Mus musculus OX=10090 GN=Mapk1 PE=1 SV=3,MK01_MOUSE,,41 kDa,TRUE,unknown,8,7,3,10,7,7
430,TRUE,Empty,Fibulin-1 OS=Mus musculus OX=10090 GN=Fbln1 PE=1 SV=2,sp|Q08879|FBLN1_MOUSE,,78 kDa,TRUE,unknown,11,3,4,9,10,7.4
322,TRUE,Empty,"Isoform 2 of Thioredoxin reductase 1, cytoplasmic OS=Mus musculus OX=10090 GN=Txnrd1",sp|Q9JMH6-2|TRXR1_MOUSE,,55 kDa,,unknown,8,7,9,10,10,8.8
540,TRUE,Empty,"Asparagine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Nars PE=1 SV=2",SYNC_MOUSE,,64 kDa,,unknown,11,7,3,10,8,7.8
1205,TRUE,Empty,Histone H2A type 2-A OS=Mus musculus OX=10090 GN=Hist2h2aa1 PE=1 SV=3,H2A2A_MOUSE (+1),,14 kDa,TRUE,unknown,0,0,2,3,3,1.6
441,TRUE,Empty,4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh9a1 PE=1 SV=1,AL9A1_MOUSE,,54 kDa,,unknown,9,7,5,9,8,7.6
397,TRUE,Empty,Protein CYR61 OS=Mus musculus OX=10090 GN=Cyr61 PE=1 SV=1,CYR61_MOUSE,,42 kDa,,unknown,7,6,6,8,10,7.4
529,TRUE,Empty,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Mus musculus OX=10090 GN=Plod2 PE=1 SV=1",E9Q718_MOUSE (+1),,87 kDa,,unknown,9,4,5,12,10,8
583,TRUE,Empty,Splicing factor 3B subunit 3 OS=Mus musculus OX=10090 GN=Sf3b3 PE=1 SV=1,sp|Q921M3|SF3B3_MOUSE,,136 kDa,,unknown,7,4,4,11,8,6.8
891,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus OX=10090 GN=Eif3a PE=1 SV=5,EIF3A_MOUSE,,162 kDa,,unknown,7,11,0,7,7,6.4
504,TRUE,Empty,Isoform 2 of Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Mus musculus OX=10090 GN=Gfpt1,sp|P47856-2|GFPT1_MOUSE (+1),,77 kDa,,unknown,12,9,0,10,9,8
435,TRUE,Empty,Collagen alpha-2(V) chain OS=Mus musculus OX=10090 GN=Col5a2 PE=1 SV=1,CO5A2_MOUSE,,145 kDa,,unknown,5,4,5,6,6,5.2
519,TRUE,Empty,Glucosamine-6-phosphate isomerase 1 OS=Mus musculus OX=10090 GN=Gnpda1 PE=1 SV=3,GNPI1_MOUSE,,33 kDa,TRUE,unknown,8,9,9,7,6,7.8
556,TRUE,Empty,Glutathione S-transferase omega-1 OS=Mus musculus OX=10090 GN=Gsto1 PE=1 SV=2,GSTO1_MOUSE,,27 kDa,,unknown,7,4,4,7,7,5.8
456,TRUE,Empty,60S acidic ribosomal protein P0 OS=Mus musculus OX=10090 GN=Rplp0 PE=1 SV=3,RLA0_MOUSE,,34 kDa,,unknown,6,6,4,7,7,6
392,TRUE,Empty,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus OX=10090 GN=Plod3 PE=1 SV=1",PLOD3_MOUSE,,85 kDa,,unknown,12,7,2,8,7,7.2
159,TRUE,Empty,Isoform 3 of Prolactin-8A6 OS=Mus musculus OX=10090 GN=Prl8a6,sp|Q9DAY2-3|PR8A6_MOUSE (+1),,27 kDa,TRUE,unknown,2,4,0,3,3,2.4
420,TRUE,Empty,Thimet oligopeptidase OS=Mus musculus OX=10090 GN=Thop1 PE=1 SV=1,A0A0R4IZY0_MOUSE (+1),,78 kDa,,unknown,13,6,5,9,8,8.2
546,TRUE,Empty,Acid ceramidase OS=Mus musculus OX=10090 GN=Asah1 PE=1 SV=1,ASAH1_MOUSE,,45 kDa,,unknown,7,7,2,10,9,7
324,TRUE,Empty,AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2,AP2A2_MOUSE,,104 kDa,TRUE,unknown,8,5,5,8,9,7
323,TRUE,Empty,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=3,ARPC5_MOUSE,,16 kDa,,unknown,4,2,5,5,5,4.2
426,TRUE,Empty,N-acetylglucosamine-6-sulfatase OS=Mus musculus OX=10090 GN=Gns PE=1 SV=1,GNS_MOUSE,,61 kDa,,unknown,7,8,6,6,11,7.6
668,TRUE,Empty,LIM and cysteine-rich domains protein 1 OS=Mus musculus OX=10090 GN=Lmcd1 PE=1 SV=1,LMCD1_MOUSE,,41 kDa,,unknown,7,7,5,6,7,6.4
560,TRUE,Empty,Cation-independent mannose-6-phosphate receptor OS=Mus musculus OX=10090 GN=Igf2r PE=1 SV=1,MPRI_MOUSE,,274 kDa,,unknown,10,3,3,7,3,5.2
579,TRUE,Empty,Ribonuclease 4 OS=Mus musculus OX=10090 GN=Rnase4 PE=1 SV=1,Q8C7E4_MOUSE,,17 kDa,,unknown,3,7,3,7,6,5.2
559,TRUE,Empty,"V-type proton ATPase subunit B, brain isoform OS=Mus musculus OX=10090 GN=Atp6v1b2 PE=1 SV=1",VATB2_MOUSE,,57 kDa,,unknown,6,5,2,8,7,5.6
619,TRUE,Empty,SUMO-conjugating enzyme UBC9 OS=Mus musculus OX=10090 GN=Ube2i PE=1 SV=1,UBC9_MOUSE,,18 kDa,,unknown,4,3,2,5,5,3.8
791,TRUE,Empty,COP9 signalosome complex subunit 4 OS=Mus musculus OX=10090 GN=Cops4 PE=1 SV=1,CSN4_MOUSE,,46 kDa,,unknown,5,3,2,7,5,4.4
1185,TRUE,Empty,Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1,DESP_MOUSE,,333 kDa,,unknown,3,0,0,0,0,0.6
429,TRUE,Empty,Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3,ARPC3_MOUSE,,21 kDa,,unknown,4,4,2,4,5,3.8
525,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1,EIF3B_MOUSE,,91 kDa,,unknown,9,10,2,11,11,8.6
156,TRUE,Empty,Collagen alpha-5(VI) chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4,sp|A6H584|CO6A5_MOUSE-DECOY (+2),,?,TRUE,unknown,2,0,0,2,2,1.2
1206,TRUE,Empty,Isoform 2 of Protein piccolo OS=Mus musculus OX=10090 GN=Pclo,sp|Q9QYX7-2|PCLO_MOUSE (+1),,528 kDa,,unknown,0,0,0,2,0,0.4
457,TRUE,Empty,Glutaminyl-peptide cyclotransferase OS=Mus musculus OX=10090 GN=Qpct PE=1 SV=1,A0A0R4J0G6_MOUSE (+1),,41 kDa,,unknown,8,4,5,7,6,6
273,TRUE,Empty,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3,ARPC4_MOUSE,,20 kDa,,unknown,7,6,5,7,7,6.4
535,TRUE,Empty,Niban-like protein 1 OS=Mus musculus OX=10090 GN=Fam129b PE=1 SV=2,NIBL1_MOUSE,,85 kDa,,unknown,12,6,4,12,9,8.6
365,TRUE,Empty,Bifunctional purine biosynthesis protein PURH OS=Mus musculus OX=10090 GN=Atic PE=1 SV=2,PUR9_MOUSE,,64 kDa,,unknown,11,8,4,5,9,7.4
445,TRUE,Empty,Histone-binding protein RBBP4 OS=Mus musculus OX=10090 GN=Rbbp4 PE=1 SV=5,RBBP4_MOUSE,,48 kDa,TRUE,unknown,9,4,5,6,10,6.8
335,TRUE,Empty,60S ribosomal protein L12 OS=Mus musculus OX=10090 GN=Rpl12 PE=1 SV=2,RL12_MOUSE,,18 kDa,,unknown,7,7,6,7,6,6.6
417,TRUE,Empty,Metalloproteinase inhibitor 1 OS=Mus musculus OX=10090 GN=Timp1 PE=1 SV=2,TIMP1_MOUSE,,23 kDa,,unknown,5,6,5,6,6,5.6
278,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus OX=10090 GN=Fkbp1a PE=1 SV=2,FKB1A_MOUSE,,12 kDa,,unknown,6,3,2,5,6,4.4
1207,TRUE,Empty,Protein S100-A6 OS=Mus musculus OX=10090 GN=S100a6 PE=1 SV=3,S10A6_MOUSE,,10 kDa,,unknown,0,2,3,2,0,1.4
573,TRUE,Empty,Exportin-1 OS=Mus musculus OX=10090 GN=Xpo1 PE=1 SV=1,XPO1_MOUSE,,123 kDa,,unknown,9,5,0,12,9,7
570,TRUE,Empty,Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1,A0A0R4J1E2_MOUSE,,73 kDa,TRUE,unknown,5,6,3,7,6,5.4
55,TRUE,Empty,Pregnancy-specific glycoprotein 22 OS=Mus musculus OX=10090 GN=Psg22 PE=4 SV=1,E9Q6J7_MOUSE (+1),,57 kDa,TRUE,unknown,6,4,5,3,7,5
461,TRUE,Empty,Glypican-1 OS=Mus musculus OX=10090 GN=Gpc1 PE=1 SV=1,GPC1_MOUSE,,61 kDa,,unknown,9,2,3,7,8,5.8
518,TRUE,Empty,EF-hand domain-containing protein D2 OS=Mus musculus OX=10090 GN=Efhd2 PE=1 SV=1,Q8C845_MOUSE,,27 kDa,,unknown,7,7,5,7,7,6.6
375,TRUE,Empty,"Isoform Cytoplasmic of Glutathione reductase, mitochondrial OS=Mus musculus OX=10090 GN=Gsr",sp|P47791-2|GSHR_MOUSE (+1),,51 kDa,,unknown,7,6,6,8,6,6.6
538,TRUE,Empty,Nuclease-sensitive element-binding protein 1 OS=Mus musculus OX=10090 GN=Ybx1 PE=1 SV=3,YBOX1_MOUSE,,36 kDa,,unknown,7,5,3,7,7,5.8
547,TRUE,Empty,"Arginine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Rars PE=1 SV=2",SYRC_MOUSE,,76 kDa,,unknown,7,4,2,6,6,5
478,TRUE,Empty,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus OX=10090 GN=Ppp2r1a PE=1 SV=3,2AAA_MOUSE,,65 kDa,,unknown,11,5,0,8,8,6.4
415,TRUE,Empty,Protein transport protein Sec23A OS=Mus musculus OX=10090 GN=Sec23a PE=1 SV=1,E9Q1S3_MOUSE (+1),,83 kDa,TRUE,unknown,10,8,3,7,9,7.4
455,TRUE,Empty,Procollagen C-endopeptidase enhancer 1 OS=Mus musculus OX=10090 GN=Pcolce PE=1 SV=2,PCOC1_MOUSE,,50 kDa,,unknown,8,4,3,9,9,6.6
432,TRUE,Empty,Isoform 2 of Vacuolar protein sorting-associated protein 26A OS=Mus musculus OX=10090 GN=Vps26a,sp|P40336-2|VP26A_MOUSE (+1),,42 kDa,TRUE,unknown,9,4,5,8,8,6.8
403,TRUE,Empty,Isoform 2 of Leukemia inhibitory factor receptor OS=Mus musculus OX=10090 GN=Lifr,sp|P42703-2|LIFR_MOUSE,,81 kDa,,unknown,11,7,3,10,6,7.4
496,TRUE,Empty,"alpha-1,2-Mannosidase (Fragment) OS=Mus musculus OX=10090 GN=Man1a PE=1 SV=1",A0A1W2P788_MOUSE (+1),,82 kDa,,unknown,7,7,3,9,7,6.6
503,TRUE,Empty,ADP-ribosylation factor 1 OS=Mus musculus OX=10090 GN=Arf1 PE=1 SV=2,ARF1_MOUSE,,21 kDa,TRUE,unknown,6,6,5,4,8,5.8
537,TRUE,Empty,Desmoglein-2 OS=Mus musculus OX=10090 GN=Dsg2 PE=1 SV=3,DSG2_MOUSE,,122 kDa,,unknown,9,3,4,8,8,6.4
488,TRUE,Empty,Retinol-binding protein 1 OS=Mus musculus OX=10090 GN=Rbp1 PE=1 SV=2,RET1_MOUSE,,16 kDa,,unknown,9,5,4,8,9,7
410,TRUE,Empty,40S ribosomal protein SA OS=Mus musculus OX=10090 GN=Rpsa PE=1 SV=4,RSSA_MOUSE,,33 kDa,,unknown,6,5,4,6,6,5.4
536,TRUE,Empty,Mammalian ependymin-related protein 1 OS=Mus musculus OX=10090 GN=Epdr1 PE=1 SV=1,sp|Q99M71|EPDR1_MOUSE,,25 kDa,,unknown,7,4,6,6,6,5.8
710,TRUE,Empty,Lactotransferrin OS=Mus musculus OX=10090 GN=Ltf PE=1 SV=4,TRFL_MOUSE,,78 kDa,TRUE,unknown,6,2,3,9,4,4.8
416,TRUE,Empty,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2",DLDH_MOUSE,,54 kDa,,unknown,6,7,5,7,6,6.2
672,TRUE,Empty,Haptoglobin OS=Mus musculus OX=10090 GN=Hp PE=1 SV=1,HPT_MOUSE,,39 kDa,,unknown,4,4,4,4,4,4
357,TRUE,Empty,Metalloproteinase inhibitor 3 OS=Mus musculus OX=10090 GN=Timp3 PE=1 SV=1,TIMP3_MOUSE,,24 kDa,,unknown,7,4,5,6,6,5.6
498,TRUE,Empty,Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1,CALM2_MOUSE (+1),,17 kDa,,unknown,5,3,2,4,5,3.8
639,TRUE,Empty,Beta-mannosidase OS=Mus musculus OX=10090 GN=Manba PE=1 SV=1,A0A0R4J092_MOUSE,,101 kDa,,unknown,9,5,3,8,11,7.2
658,TRUE,Empty,Cathepsin K OS=Mus musculus OX=10090 GN=Ctsk PE=1 SV=2,CATK_MOUSE,,37 kDa,,unknown,3,2,2,4,3,2.8
474,TRUE,Empty,Collagen alpha-2(VI) chain OS=Mus musculus OX=10090 GN=Col6a2 PE=1 SV=3,CO6A2_MOUSE,,110 kDa,,unknown,7,2,3,12,8,6.4
276,TRUE,Empty,Transthyretin OS=Mus musculus OX=10090 GN=Ttr PE=1 SV=1,TTHY_MOUSE,,16 kDa,,unknown,5,2,3,5,6,4.2
4,TRUE,Empty,Hemoglobin subunit beta-2 OS=Mus musculus OX=10090 GN=Hbb-b2 PE=1 SV=2,HBB2_MOUSE,,16 kDa,TRUE,unknown,3,7,3,2,3,3.6
1208,TRUE,Empty,Apolipoprotein B-100 OS=Mus musculus OX=10090 GN=Apob PE=1 SV=1,APOB_MOUSE,,509 kDa,,unknown,0,0,3,0,4,1.4
612,TRUE,Empty,Dystroglycan OS=Mus musculus OX=10090 GN=Dag1 PE=1 SV=4,DAG1_MOUSE,,97 kDa,,unknown,5,0,3,4,6,3.6
613,TRUE,Empty,Programmed cell death 6-interacting protein OS=Mus musculus OX=10090 GN=Pdcd6ip PE=1 SV=3,sp|Q9WU78|PDC6I_MOUSE,,96 kDa,,unknown,8,5,0,9,7,5.8
562,TRUE,Empty,Amiloride-sensitive amine oxidase [copper-containing] OS=Mus musculus OX=10090 GN=Aoc1 PE=2 SV=1,AOC1_MOUSE (+1),,85 kDa,,unknown,6,4,4,7,6,5.4
