"Accession.New","MouseGeneName","Description","Accession.Number","Sample1","Sample2","Sample3","Sample4","Sample5","ProteinID"
"ARP3_MOUSE","Actr3","Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3","ARP3_MOUSE",12,16,9,13,12,"Q99JY9"
"ARPC2_MOUSE","Arpc2","Actin-related protein 2/3 complex subunit 2 OS=Mus musculus OX=10090 GN=Arpc2 PE=1 SV=3","ARPC2_MOUSE",11,10,10,11,13,"Q9CVB6"
"ARPC3_MOUSE","Arpc3","Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3","ARPC3_MOUSE",4,4,2,4,5,"Q9JM76"
"ARPC4_MOUSE","Arpc4","Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3","ARPC4_MOUSE",7,6,5,7,7,"P59999"
"ARPC5_MOUSE","Arpc5","Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=3","ARPC5_MOUSE",4,2,5,5,5,"Q9CPW4"
"ASAH1_MOUSE","Asah1","Acid ceramidase OS=Mus musculus OX=10090 GN=Asah1 PE=1 SV=1","ASAH1_MOUSE",7,7,2,10,9,"Q9WV54"
"ASC_MOUSE","Pycard","Apoptosis-associated speck-like protein containing a CARD OS=Mus musculus OX=10090 GN=Pycard PE=1 SV=1","ASC_MOUSE",2,0,2,2,2,"Q9EPB4"
"ASPG_MOUSE","Aga","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Mus musculus OX=10090 GN=Aga PE=1 SV=1","ASPG_MOUSE",5,3,4,4,4,"Q64191"
"ATOX1_MOUSE","Atox1","Copper transport protein ATOX1 OS=Mus musculus OX=10090 GN=Atox1 PE=1 SV=1","ATOX1_MOUSE",4,2,3,3,2,"O08997"
"ATPB_MOUSE","Atp5f1b","ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2","ATPB_MOUSE",17,14,11,13,17,"P56480"
"ATX10_MOUSE","Atxn10","Ataxin-10 OS=Mus musculus OX=10090 GN=Atxn10 PE=1 SV=2","ATX10_MOUSE",11,8,3,9,9,"P28658"
"B1AQR8_MOUSE","Lgals9","Galectin OS=Mus musculus OX=10090 GN=Lgals9 PE=1 SV=1","B1AQR8_MOUSE (+4)",6,2,5,4,4,"B1AQR8"
"B1AQZ0_MOUSE","Sept8","Septin-8 OS=Mus musculus OX=10090 GN=Sept8 PE=1 SV=1","B1AQZ0_MOUSE",3,3,0,4,3,"B1AQZ0"
"B1ARB3_MOUSE","Pecam1","Platelet endothelial cell adhesion molecule OS=Mus musculus OX=10090 GN=Pecam1 PE=1 SV=1","B1ARB3_MOUSE (+1)",7,3,3,4,2,"B1ARB3"
"B1AT92_MOUSE","Grb2","Growth factor receptor-bound protein 2 OS=Mus musculus OX=10090 GN=Grb2 PE=1 SV=1","B1AT92_MOUSE (+1)",5,3,2,6,7,"B1AT92"
"B1B0C7_MOUSE","Hspg2","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1","B1B0C7_MOUSE (+1)",25,12,29,18,19,"B1B0C7"
"B2M1R6_MOUSE","Hnrnpk","Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1","B2M1R6_MOUSE (+1)",11,10,7,12,9,"B2M1R6"
"B2MG_MOUSE","B2m","Beta-2-microglobulin OS=Mus musculus OX=10090 GN=B2m PE=1 SV=2","B2MG_MOUSE",5,5,6,6,6,"P01887"
"B2RSG7_MOUSE","Psg18","Pregnancy-specific glycoprotein 18 OS=Mus musculus OX=10090 GN=Psg18 PE=2 SV=1","B2RSG7_MOUSE",6,3,0,5,4,"B2RSG7"
"B4GT1_MOUSE","B4galt1","Isoform Short of Beta-1,4-galactosyltransferase 1 OS=Mus musculus OX=10090 GN=B4galt1","sp|P15535-2|B4GT1_MOUSE (+1)",4,3,4,4,3,"P15535"
"B7FAU9_MOUSE","Flna","Filamin, alpha OS=Mus musculus OX=10090 GN=Flna PE=1 SV=1","B7FAU9_MOUSE (+1)",77,59,58,81,79,"B7FAU9"
"B7ZBY7_MOUSE","Ube2v1","Ubiquitin-conjugating enzyme E2 variant 1 OS=Mus musculus OX=10090 GN=Ube2v1 PE=3 SV=1","B7ZBY7_MOUSE (+2)",4,4,3,2,4,"B7ZBY7"
"B7ZWM6_MOUSE","Sorbs2","Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1","B7ZWM6_MOUSE (+3)",6,3,0,7,4,"B7ZWM6"
"B8JJN0_MOUSE","Gm20547","Predicted gene 20547 OS=Mus musculus OX=10090 GN=Gm20547 PE=3 SV=1","B8JJN0_MOUSE",14,7,5,19,11,"B8JJN0"
"B9EHJ3_MOUSE","Tjp1","Tight junction protein ZO-1 OS=Mus musculus OX=10090 GN=Tjp1 PE=1 SV=1","B9EHJ3_MOUSE (+1)",7,5,0,5,8,"B9EHJ3"
"BAF_MOUSE","Banf1","Barrier-to-autointegration factor OS=Mus musculus OX=10090 GN=Banf1 PE=1 SV=1","BAF_MOUSE",2,2,0,2,2,"O54962"
"BASP1_MOUSE","Basp1","Brain acid soluble protein 1 OS=Mus musculus OX=10090 GN=Basp1 PE=1 SV=3","BASP1_MOUSE",4,3,0,3,2,"Q91XV3"
"BCAM_MOUSE","Bcam","Basal cell adhesion molecule OS=Mus musculus OX=10090 GN=Bcam PE=1 SV=1","BCAM_MOUSE",4,2,0,2,3,"Q9R069"
"BGAL_MOUSE","Glb1","Beta-galactosidase OS=Mus musculus OX=10090 GN=Glb1 PE=1 SV=1","BGAL_MOUSE",4,3,4,4,6,"P23780"
"BGH3_MOUSE","Tgfbi","Transforming growth factor-beta-induced protein ig-h3 OS=Mus musculus OX=10090 GN=Tgfbi PE=1 SV=1","BGH3_MOUSE",5,6,4,8,6,"P82198"
"BGLR_MOUSE","Gusb","Beta-glucuronidase OS=Mus musculus OX=10090 GN=Gusb PE=1 SV=2","BGLR_MOUSE",4,4,3,2,2,"P12265"
"BIEA_MOUSE","Blvra","Biliverdin reductase A OS=Mus musculus OX=10090 GN=Blvra PE=1 SV=1","BIEA_MOUSE",6,5,4,7,6,"Q9CY64"
"BIP_MOUSE","Hspa5","Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3","BIP_MOUSE",39,39,35,38,38,"P20029"
"BLMH_MOUSE","Blmh","Bleomycin hydrolase OS=Mus musculus OX=10090 GN=Blmh PE=1 SV=1","BLMH_MOUSE",12,4,6,6,5,"Q8R016"
"BLVRB_MOUSE","Blvrb","Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=3","BLVRB_MOUSE",6,10,11,10,8,"Q923D2"
"BMP1_MOUSE","Bmp1","Bone morphogenetic protein 1 OS=Mus musculus OX=10090 GN=Bmp1 PE=1 SV=2","BMP1_MOUSE",7,3,4,8,6,"P98063"
"C1QA_MOUSE","C1qa","Complement C1q subcomponent subunit A OS=Mus musculus OX=10090 GN=C1qa PE=1 SV=2","C1QA_MOUSE",4,2,0,5,3,"P98086"
"C1QC_MOUSE","C1qc","Complement C1q subcomponent subunit C OS=Mus musculus OX=10090 GN=C1qc PE=1 SV=2","C1QC_MOUSE",4,3,2,3,3,"Q02105"
"C1QT1_MOUSE","C1qtnf1","Complement C1q tumor necrosis factor-related protein 1 OS=Mus musculus OX=10090 GN=C1qtnf1 PE=2 SV=1","C1QT1_MOUSE",4,3,0,5,5,"Q9QXP7"
"CAB39_MOUSE","Cab39","Calcium-binding protein 39 OS=Mus musculus OX=10090 GN=Cab39 PE=1 SV=2","CAB39_MOUSE",7,2,2,6,5,"Q06138"
"CADH5_MOUSE","Cdh5","Cadherin-5 OS=Mus musculus OX=10090 GN=Cdh5 PE=1 SV=2","CADH5_MOUSE",16,12,9,16,17,"P55284"
"CAH1_MOUSE","Ca1","Carbonic anhydrase 1 OS=Mus musculus OX=10090 GN=Ca1 PE=1 SV=4","CAH1_MOUSE",8,12,12,12,9,"P13634"
"CAH2_MOUSE","Ca2","Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4","CAH2_MOUSE",13,13,11,13,12,"P00920"
"CALM2_MOUSE","Calm2","Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1","CALM2_MOUSE (+1)",5,3,2,4,5,"P0DP27"
"CALR_MOUSE","Calr","Calreticulin OS=Mus musculus OX=10090 GN=Calr PE=1 SV=1","CALR_MOUSE",23,21,19,22,21,"P14211"
"CALU_MOUSE","Calu","Calumenin OS=Mus musculus OX=10090 GN=Calu PE=1 SV=1","CALU_MOUSE",13,9,5,8,11,"O35887"
"CAN1_MOUSE","Capn1","Calpain-1 catalytic subunit OS=Mus musculus OX=10090 GN=Capn1 PE=1 SV=1","CAN1_MOUSE",5,5,0,8,7,"O35350"
"CAN2_MOUSE","Capn2","Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4","CAN2_MOUSE",5,3,2,7,6,"O08529"
"CAND1_MOUSE","Cand1","Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2","CAND1_MOUSE",13,15,2,12,13,"Q6ZQ38"
"CAP1_MOUSE","Cap1","Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4","CAP1_MOUSE",12,12,6,14,14,"P40124"
"CAPZB_MOUSE","Capzb","Isoform 2 of F-actin-capping protein subunit beta OS=Mus musculus OX=10090 GN=Capzb","sp|P47757-2|CAPZB_MOUSE",11,10,11,14,15,"P47757"
"CATA_MOUSE","Cat","Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4","CATA_MOUSE",14,12,7,9,5,"P24270"
"CATB_MOUSE","Ctsb","Cathepsin B OS=Mus musculus OX=10090 GN=Ctsb PE=1 SV=2","CATB_MOUSE",15,14,15,16,15,"P10605"
"CATD_MOUSE","Ctsd","Cathepsin D OS=Mus musculus OX=10090 GN=Ctsd PE=1 SV=1","CATD_MOUSE",17,16,17,16,15,"P18242"
"CATK_MOUSE","Ctsk","Cathepsin K OS=Mus musculus OX=10090 GN=Ctsk PE=1 SV=2","CATK_MOUSE",3,2,2,4,3,"P55097"
"CATL1_MOUSE","Ctsl","Cathepsin L1 OS=Mus musculus OX=10090 GN=Ctsl PE=1 SV=2","CATL1_MOUSE",12,11,11,13,12,"P06797"
"CATR_MOUSE","Ctsr","Cathepsin R OS=Mus musculus OX=10090 GN=Ctsr PE=2 SV=1","CATR_MOUSE",3,2,0,2,2,"Q9JIA9"
"CATS_MOUSE","Ctss","Cathepsin S OS=Mus musculus OX=10090 GN=Ctss PE=1 SV=2","CATS_MOUSE (+1)",10,7,9,10,8,"O70370"
"CATZ_MOUSE","Ctsz","Cathepsin Z OS=Mus musculus OX=10090 GN=Ctsz PE=1 SV=1","CATZ_MOUSE",8,6,6,8,7,"Q9WUU7"
"CAZA2_MOUSE","Capza2","F-actin-capping protein subunit alpha-2 OS=Mus musculus OX=10090 GN=Capza2 PE=1 SV=3","CAZA2_MOUSE",11,9,5,10,10,"P47754"
"CBPE_MOUSE","Cpe","Carboxypeptidase E OS=Mus musculus OX=10090 GN=Cpe PE=1 SV=2","CBPE_MOUSE",18,14,14,18,18,"Q00493"
"CBR1_MOUSE","Cbr1","Carbonyl reductase [NADPH] 1 OS=Mus musculus OX=10090 GN=Cbr1 PE=1 SV=3","CBR1_MOUSE",3,0,2,3,4,"P48758"
"CBX3_MOUSE","Cbx3","Chromobox protein homolog 3 OS=Mus musculus OX=10090 GN=Cbx3 PE=1 SV=2","CBX3_MOUSE (+1)",4,3,3,4,4,"P23198"
"CCL2_MOUSE","Ccl2","C-C motif chemokine 2 OS=Mus musculus OX=10090 GN=Ccl2 PE=1 SV=1","CCL2_MOUSE",2,3,0,2,4,"P10148"
"CCL7_MOUSE","Ccl7","C-C motif chemokine 7 OS=Mus musculus OX=10090 GN=Ccl7 PE=3 SV=1","CCL7_MOUSE",3,2,0,3,2,"Q03366"
"CCN1_MOUSE","Cyr61","Protein CYR61 OS=Mus musculus OX=10090 GN=Cyr61 PE=1 SV=1","CYR61_MOUSE",7,6,6,8,10,"P18406"
"CCN2_MOUSE","Ctgf","Connective tissue growth factor OS=Mus musculus OX=10090 GN=Ctgf PE=2 SV=3","CTGF_MOUSE",16,14,16,17,17,"P29268"
"CDC42_MOUSE","Cdc42","Cell division control protein 42 homolog OS=Mus musculus OX=10090 GN=Cdc42 PE=1 SV=2","sp|P60766|CDC42_MOUSE",3,4,2,4,3,"P60766"
"CEAM5_MOUSE","Ceacam5","Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Mus musculus OX=10090 GN=Ceacam5 PE=2 SV=1","CEAM5_MOUSE",31,27,19,28,25,"Q3UKK2"
"CERU_MOUSE","Cp","Ceruloplasmin OS=Mus musculus OX=10090 GN=Cp PE=1 SV=2","CERU_MOUSE (+1)",6,4,4,9,4,"Q61147"
"CH10_MOUSE","Hspe1","10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=2","CH10_MOUSE",4,4,2,3,2,"Q64433"
"CH60_MOUSE","Hspd1","60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1","sp|P63038|CH60_MOUSE",14,12,9,12,13,"P63038"
"CHIL3_MOUSE","Chil3","Chitinase-like protein 3 OS=Mus musculus OX=10090 GN=Chil3 PE=1 SV=2","CHIL3_MOUSE",8,2,7,7,4,"O35744"
"CHSTB_MOUSE","Chst11","Carbohydrate sulfotransferase 11 OS=Mus musculus OX=10090 GN=Chst11 PE=2 SV=1","CHSTB_MOUSE",6,3,2,4,5,"Q9JME2"
"CKAP4_MOUSE","Ckap4","Cytoskeleton-associated protein 4 OS=Mus musculus OX=10090 GN=Ckap4 PE=1 SV=2","CKAP4_MOUSE",4,0,2,4,3,"Q8BMK4"
"CLCB_MOUSE","Cltb","Isoform 2 of Clathrin light chain B OS=Mus musculus OX=10090 GN=Cltb","sp|Q6IRU5-2|CLCB_MOUSE",6,2,2,4,6,"Q6IRU5"
"CLH1_MOUSE","Cltc","Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3","CLH1_MOUSE (+1)",56,41,33,52,53,"Q68FD5"
"CLIC1_MOUSE","Clic1","Chloride intracellular channel protein 1 OS=Mus musculus OX=10090 GN=Clic1 PE=1 SV=3","CLIC1_MOUSE",6,4,5,5,8,"Q9Z1Q5"
"CLIC4_MOUSE","Clic4","Chloride intracellular channel protein 4 OS=Mus musculus OX=10090 GN=Clic4 PE=1 SV=3","CLIC4_MOUSE",12,8,6,13,12,"Q9QYB1"
"CLUS_MOUSE","Clu","Clusterin OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1","CLUS_MOUSE",5,4,5,8,5,"Q06890"
"CNBP_MOUSE","Cnbp","Isoform 2 of Cellular nucleic acid-binding protein OS=Mus musculus OX=10090 GN=Cnbp","sp|P53996-2|CNBP_MOUSE (+1)",5,4,2,3,3,"P53996"
"CNDP2_MOUSE","Cndp2","Cytosolic non-specific dipeptidase OS=Mus musculus OX=10090 GN=Cndp2 PE=1 SV=1","CNDP2_MOUSE",16,11,8,12,18,"Q9D1A2"
"CO1A1_MOUSE","Col1a1","Isoform 2 of Collagen alpha-1(I) chain OS=Mus musculus OX=10090 GN=Col1a1","sp|P11087-2|CO1A1_MOUSE (+1)",14,13,13,14,13,"P11087"
"CO1A2_MOUSE","Col1a2","Collagen alpha-2(I) chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2","CO1A2_MOUSE",9,9,9,11,10,"Q01149"
"CO3_MOUSE","C3","Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3","sp|P01027|CO3_MOUSE",10,8,8,11,9,"P01027"
"CO3A1_MOUSE","Col3a1","Collagen alpha-1(III) chain OS=Mus musculus OX=10090 GN=Col3a1 PE=1 SV=4","CO3A1_MOUSE",11,8,6,10,6,"P08121"
"CO4A1_MOUSE","Col4a1","Collagen alpha-1(IV) chain OS=Mus musculus OX=10090 GN=Col4a1 PE=1 SV=4","CO4A1_MOUSE",6,5,6,5,6,"P02463"
"CO4A2_MOUSE","Col4a2","Collagen alpha-2(IV) chain OS=Mus musculus OX=10090 GN=Col4a2 PE=1 SV=4","CO4A2_MOUSE",9,9,8,9,13,"P08122"
"CO4B_MOUSE","C4b","Complement C4-B OS=Mus musculus OX=10090 GN=C4b PE=1 SV=3","CO4B_MOUSE",2,2,4,2,2,"P01029"
"CO5A1_MOUSE","Col5a1","Collagen alpha-1(V) chain OS=Mus musculus OX=10090 GN=Col5a1 PE=1 SV=2","CO5A1_MOUSE",10,5,5,9,9,"O88207"
"CO5A2_MOUSE","Col5a2","Collagen alpha-2(V) chain OS=Mus musculus OX=10090 GN=Col5a2 PE=1 SV=1","CO5A2_MOUSE",5,4,5,6,6,"Q3U962"
"CO6A2_MOUSE","Col6a2","Collagen alpha-2(VI) chain OS=Mus musculus OX=10090 GN=Col6a2 PE=1 SV=3","CO6A2_MOUSE",7,2,3,12,8,"Q02788"
"COCH_MOUSE","Coch","Cochlin OS=Mus musculus OX=10090 GN=Coch PE=1 SV=2","COCH_MOUSE",4,0,4,6,5,"Q62507"
"COF1_MOUSE","Cfl1","Cofilin-1 OS=Mus musculus OX=10090 GN=Cfl1 PE=1 SV=3","COF1_MOUSE",15,15,13,16,16,"P18760"
"COF2_MOUSE","Cfl2","Cofilin-2 OS=Mus musculus OX=10090 GN=Cfl2 PE=1 SV=1","COF2_MOUSE",6,5,7,4,5,"P45591"
"COPA_MOUSE","Copa","Coatomer subunit alpha OS=Mus musculus OX=10090 GN=Copa PE=1 SV=2","COPA_MOUSE",17,16,7,22,23,"Q8CIE6"
"COPB_MOUSE","Copb1","Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1","COPB_MOUSE",11,9,2,12,12,"Q9JIF7"
"COPB2_MOUSE","Copb2","Coatomer subunit beta' OS=Mus musculus OX=10090 GN=Copb2 PE=1 SV=2","COPB2_MOUSE",20,13,8,16,17,"O55029"
"COPD_MOUSE","Arcn1","Coatomer subunit delta OS=Mus musculus OX=10090 GN=Arcn1 PE=1 SV=2","COPD_MOUSE",13,11,8,12,15,"Q5XJY5"
"COPE_MOUSE","Cope","Coatomer subunit epsilon OS=Mus musculus OX=10090 GN=Cope PE=1 SV=3","COPE_MOUSE",9,7,4,8,5,"O89079"
"COPG1_MOUSE","Copg1","Coatomer subunit gamma-1 OS=Mus musculus OX=10090 GN=Copg1 PE=1 SV=1","COPG1_MOUSE",7,5,0,8,7,"Q9QZE5"
"COR1A_MOUSE","Coro1a","Coronin-1A OS=Mus musculus OX=10090 GN=Coro1a PE=1 SV=5","COR1A_MOUSE",6,5,5,7,5,"O89053"
"COR1B_MOUSE","Coro1b","Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1","COR1B_MOUSE",3,2,0,3,4,"Q9WUM3"
"COR1C_MOUSE","Coro1c","Coronin-1C OS=Mus musculus OX=10090 GN=Coro1c PE=1 SV=2","COR1C_MOUSE",10,8,8,9,8,"Q9WUM4"
"COTL1_MOUSE","Cotl1","Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3","COTL1_MOUSE",8,6,6,8,8,"Q9CQI6"
"CREG1_MOUSE","Creg1","Protein CREG1 OS=Mus musculus OX=10090 GN=Creg1 PE=1 SV=1","CREG1_MOUSE",6,6,3,7,5,"O88668"
"CREL2_MOUSE","Creld2","Cysteine-rich with EGF-like domain protein 2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1","CREL2_MOUSE",7,7,2,7,6,"Q9CYA0"
"CRIP2_MOUSE","Crip2","Cysteine-rich protein 2 OS=Mus musculus OX=10090 GN=Crip2 PE=1 SV=1","CRIP2_MOUSE",3,2,3,3,3,"Q9DCT8"
"CRK_MOUSE","Crk","Adapter molecule crk OS=Mus musculus OX=10090 GN=Crk PE=1 SV=1","sp|Q64010|CRK_MOUSE",2,0,2,3,5,"Q64010"
"CRYAA_MOUSE","Cryaa","Isoform 2 of Alpha-crystallin A chain OS=Mus musculus OX=10090 GN=Cryaa","sp|P24622-2|CRYAA_MOUSE",4,4,3,4,4,"P24622"
"CRYAB_MOUSE","Cryab","Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2","CRYAB_MOUSE",8,8,9,8,9,"P23927"
"CSF1_MOUSE","Csf1","Macrophage colony-stimulating factor 1 OS=Mus musculus OX=10090 GN=Csf1 PE=1 SV=2","sp|P07141|CSF1_MOUSE",3,2,4,4,4,"P07141"
"CSF1R_MOUSE","Csf1r","Macrophage colony-stimulating factor 1 receptor OS=Mus musculus OX=10090 GN=Csf1r PE=1 SV=3","CSF1R_MOUSE",6,2,2,4,3,"P09581"
"CSN4_MOUSE","Cops4","COP9 signalosome complex subunit 4 OS=Mus musculus OX=10090 GN=Cops4 PE=1 SV=1","CSN4_MOUSE",5,3,2,7,5,"O88544"
"CSN5_MOUSE","Cops5","COP9 signalosome complex subunit 5 OS=Mus musculus OX=10090 GN=Cops5 PE=1 SV=3","CSN5_MOUSE",4,2,0,2,4,"O35864"
"CSRP1_MOUSE","Csrp1","Cysteine and glycine-rich protein 1 OS=Mus musculus OX=10090 GN=Csrp1 PE=1 SV=3","CSRP1_MOUSE",10,9,7,10,9,"P97315"
"CTL2A_MOUSE","Ctla2a","Protein CTLA-2-alpha OS=Mus musculus OX=10090 GN=Ctla2a PE=2 SV=2","CTL2A_MOUSE",9,9,9,9,10,"P12399"
"CTNA1_MOUSE","Ctnna1","Catenin alpha-1 OS=Mus musculus OX=10090 GN=Ctnna1 PE=1 SV=1","CTNA1_MOUSE",9,5,2,10,8,"P26231"
"CX6B1_MOUSE","Cox6b1","Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=2","CX6B1_MOUSE",3,3,3,3,5,"P56391"
"CYBP_MOUSE","Cacybp","Calcyclin-binding protein OS=Mus musculus OX=10090 GN=Cacybp PE=1 SV=1","CYBP_MOUSE",5,6,3,4,5,"Q9CXW3"
"CYC_MOUSE","Cycs","Cytochrome c, somatic OS=Mus musculus OX=10090 GN=Cycs PE=1 SV=2","CYC_MOUSE",6,6,6,6,6,"P62897"
"CYT1_MOUSE","Stfa1","Stefin-1 OS=Mus musculus OX=10090 GN=Stfa1 PE=3 SV=1","CYT1_MOUSE",0,2,2,3,3,"P35175"
"CYTB_MOUSE","Cstb","Cystatin-B OS=Mus musculus OX=10090 GN=Cstb PE=1 SV=1","CYTB_MOUSE",5,4,4,4,5,"Q62426"
"CYTC_MOUSE","Cst3","Cystatin-C OS=Mus musculus OX=10090 GN=Cst3 PE=1 SV=2","CYTC_MOUSE",7,7,7,7,8,"P21460"
"D0VY58_MOUSE","Psg16","Pregnancy-specific glycoprotein OS=Mus musculus OX=10090 GN=Psg16 PE=1 SV=1","D0VY58_MOUSE",11,9,5,9,10,"D0VY58"
"D3YUP1_MOUSE","Carm1","Histone-arginine methyltransferase CARM1 OS=Mus musculus OX=10090 GN=Carm1 PE=1 SV=1","D3YUP1_MOUSE (+2)",2,2,2,0,2,"D3YUP1"
"D3YWF6_MOUSE","Otub1","Ubiquitin thioesterase OTUB1 OS=Mus musculus OX=10090 GN=Otub1 PE=1 SV=1","D3YWF6_MOUSE (+1)",5,7,5,8,5,"D3YWF6"
"D3YXQ6_MOUSE","Psg16","Pregnancy-specific glycoprotein 16 (Fragment) OS=Mus musculus OX=10090 GN=Psg16 PE=4 SV=1","D3YXQ6_MOUSE",4,3,2,4,3,"D3YXQ6"
"D3YYD5_MOUSE","Vps29","Vacuolar protein sorting-associated protein 29 (Fragment) OS=Mus musculus OX=10090 GN=Vps29 PE=1 SV=1","D3YYD5_MOUSE (+3)",0,2,2,3,3,"D3YYD5"
"D3YYE1_MOUSE","Anp32a","Acidic leucine-rich nuclear phosphoprotein 32 family member A (Fragment) OS=Mus musculus OX=10090 GN=Anp32a PE=1 SV=1","D3YYE1_MOUSE",4,4,0,3,3,"D3YYE1"
"D3Z512_MOUSE","Dnase2a","Deoxyribonuclease II alpha OS=Mus musculus OX=10090 GN=Dnase2a PE=1 SV=1","D3Z512_MOUSE (+1)",3,2,0,2,2,"D3Z512"
"D3Z794_MOUSE","Sumo2","Small ubiquitin-related modifier 2 OS=Mus musculus OX=10090 GN=Sumo2 PE=1 SV=1","D3Z794_MOUSE (+2)",2,2,2,2,2,"D3Z794"
"DAG1_MOUSE","Dag1","Dystroglycan OS=Mus musculus OX=10090 GN=Dag1 PE=1 SV=4","DAG1_MOUSE",5,0,3,4,6,"Q62165"
"DBNL_MOUSE","Dbnl","Isoform 2 of Drebrin-like protein OS=Mus musculus OX=10090 GN=Dbnl","sp|Q62418-2|DBNL_MOUSE (+2)",7,4,0,4,5,"Q62418"
"DCTN2_MOUSE","Dctn2","Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3","DCTN2_MOUSE",7,3,0,4,5,"Q99KJ8"
"DDB1_MOUSE","Ddb1","DNA damage-binding protein 1 OS=Mus musculus OX=10090 GN=Ddb1 PE=1 SV=2","DDB1_MOUSE",20,20,8,22,11,"Q3U1J4"
"DENR_MOUSE","Denr","Density-regulated protein OS=Mus musculus OX=10090 GN=Denr PE=1 SV=1","DENR_MOUSE",3,2,0,2,2,"Q9CQJ6"
"DESM_MOUSE","Des","Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3","DESM_MOUSE",35,34,32,39,36,"P31001"
"DEST_MOUSE","Dstn","Destrin OS=Mus musculus OX=10090 GN=Dstn PE=1 SV=3","DEST_MOUSE",12,10,10,10,9,"Q9R0P5"
"DHB4_MOUSE","Hsd17b4","Peroxisomal multifunctional enzyme type 2 OS=Mus musculus OX=10090 GN=Hsd17b4 PE=1 SV=3","DHB4_MOUSE",8,4,2,6,4,"P51660"
"DHE3_MOUSE","Glud1","Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1","DHE3_MOUSE",5,5,7,3,2,"P26443"
"DJB11_MOUSE","Dnajb11","DnaJ homolog subfamily B member 11 OS=Mus musculus OX=10090 GN=Dnajb11 PE=1 SV=1","DJB11_MOUSE",6,6,3,7,5,"Q99KV1"
"DLDH_MOUSE","Dld","Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2","DLDH_MOUSE",6,7,5,7,6,"O08749"
"DNJC3_MOUSE","Dnajc3","DnaJ homolog subfamily C member 3 OS=Mus musculus OX=10090 GN=Dnajc3 PE=1 SV=1","DNJC3_MOUSE",5,4,0,10,3,"Q91YW3"
"DNPEP_MOUSE","Dnpep","Aspartyl aminopeptidase OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=2","DNPEP_MOUSE (+1)",11,9,13,15,12,"Q9Z2W0"
"DNSL3_MOUSE","Dnase1l3","Deoxyribonuclease gamma OS=Mus musculus OX=10090 GN=Dnase1l3 PE=1 SV=1","DNSL3_MOUSE",12,10,4,17,13,"O55070"
"DOPD_MOUSE","Ddt","D-dopachrome decarboxylase OS=Mus musculus OX=10090 GN=Ddt PE=1 SV=3","DOPD_MOUSE",4,3,3,5,5,"O35215"
